global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,11.260555,1.2002,,,,,,,,,,,
1,,,1.199511062611574,1.1993650817415151,83274637.0,1.2001238371710523,95000000.0,8.664476871490479,971.0865857601166,8.664476871490479,962.4220168590546,0.0,0.0
100,0.2958176,0.13365756,,,,,,,,,,,
200,0.08168404,0.12754706,,,,,,,,,,,
300,0.0875222,0.11853287,,,,,,,,,,,
374,,,0.1250648677419379,0.1273345659592908,83274637.0,0.1301968690686677,95000000.0,365.3622269630432,2192.0452075004578,365.3622269630432,1826.649857759476,0.029773473739624,0.0
400,0.08592597,0.12529896,,,,,,,,,,,
500,0.008863576,0.11678699,,,,,,,,,,,
600,0.05216612,0.12787877,,,,,,,,,,,
700,0.033482052,0.12878928,,,,,,,,,,,
736,,,0.1242262726450491,0.1261877949508128,83274637.0,0.1285474571546052,95000000.0,722.0845649242401,3388.601580619812,722.0845649242401,2666.4481575489044,0.0620107650756835,0.0
800,0.062289402,0.12190263,,,,,,,,,,,
900,0.06859161,0.13541679,,,,,,,,,,,
1000,0.054008227,0.12112008,,,,,,,,,,,
1100,0.06943701,0.12410638,,,,,,,,,,,
1113,,,0.1251896327982346,0.1256406971460665,83274637.0,0.128020825544819,95000000.0,1078.4611611366272,4568.34644651413,1078.4611611366272,3489.782745361328,0.0924067497253418,0.0
1200,0.09659484,0.13043803,,,,,,,,,,,
1300,0.013055464,0.12249492,,,,,,,,,,,
1400,0.1435677,0.14360933,,,,,,,,,,,
1489,,,0.1228711193181433,0.1254455691752595,83274637.0,0.1278250700555098,95000000.0,1435.0447390079498,5733.319146871567,1435.0447390079498,4298.137759923935,0.1232979297637939,0.0
1500,0.015635626,0.12599981,,,,,,,,,,,
1600,0.082322165,0.124676876,,,,,,,,,,,
1700,0.020747425,0.13457572,,,,,,,,,,,
1800,0.007000745,0.119195506,,,,,,,,,,,
1873,,,0.1256795935918512,0.125248214948876,83274637.0,0.1276119117290296,95000000.0,1791.3800699710846,6901.882607698441,1791.3800699710846,5110.331844091415,0.1541252136230468,0.0
1900,0.06534483,0.11920832,,,,,,,,,,,
2000,0.07552945,0.13454026,,,,,,,,,,,
2100,0.07656657,0.12091276,,,,,,,,,,,
2200,0.02425413,0.12638813,,,,,,,,,,,
2268,,,0.1245971232558946,0.1249382235303416,83274637.0,0.1272533121710526,95000000.0,2147.989119052887,8038.060035467148,2147.989119052887,5889.866281032562,0.184680700302124,0.0
2300,0.048454262,0.1358039,,,,,,,,,,,
2400,0.009150201,0.118209735,,,,,,,,,,,
2500,0.008774992,0.11920501,,,,,,,,,,,
2600,0.049232334,0.119783655,,,,,,,,,,,
2666,,,0.1235935785954103,0.1248098225688696,83274637.0,0.1271597290398848,95000000.0,2504.351359844208,9065.629018306732,2504.351359844208,6561.037959575653,0.2164969444274902,0.0
2700,0.031947218,0.11726819,,,,,,,,,,,
2800,0.033679873,0.1249483,,,,,,,,,,,
2900,0.054013673,0.11766935,,,,,,,,,,,
3000,0.062147748,0.13005923,,,,,,,,,,,
3061,,,0.1234777021754837,0.1246947107489342,83274637.0,0.1270558204769737,95000000.0,2860.7749106884003,9921.458419322968,2860.7749106884003,7060.408006668091,0.2490584850311279,0.0
3100,0.08481036,0.13631265,,,,,,,,,,,
3200,0.06557667,0.12425937,,,,,,,,,,,
3300,0.025445398,0.12357522,,,,,,,,,,,
3400,0.04687681,0.12164118,,,,,,,,,,,
3460,,,0.1227741725625669,0.1246241247500124,83274637.0,0.1269421243318256,95000000.0,3217.3545095920563,10442.887906312944,3217.3545095920563,7225.224255084991,0.2794182300567627,0.0
3500,0.022319837,0.12388018,,,,,,,,,,,
3600,0.014952495,0.12795283,,,,,,,,,,,
3700,0.020908196,0.12362352,,,,,,,,,,,
3800,0.00837116,0.12536508,,,,,,,,,,,
3867,,,0.1223192508185996,0.1245228265738623,83274637.0,0.1268224701377467,95000000.0,3574.0316445827484,10819.209935426712,3574.0316445827484,7244.833906173706,0.3114264011383056,0.0
3900,0.022155423,0.122338414,,,,,,,,,,,
4000,0.06610261,0.12468661,,,,,,,,,,,
4100,0.028689118,0.12518339,,,,,,,,,,,
4200,0.05757651,0.13475427,,,,,,,,,,,
4254,,,0.1226100668475125,0.1243902456955846,83274637.0,0.126681806301398,95000000.0,3930.03497505188,11195.10700058937,3930.03497505188,7264.696433067322,0.3396944999694824,0.0
4300,0.021662297,0.13157472,,,,,,,,,,,
4400,0.024980437,0.12464903,,,,,,,,,,,
4500,0.02556269,0.124178685,,,,,,,,,,,
4600,0.025037387,0.12067728,,,,,,,,,,,
4644,,,0.1255540067927455,0.124278840249928,83274637.0,0.1265635686677631,95000000.0,4286.524897813797,11570.614235162737,4286.524897813797,7283.676795721054,0.3735475540161133,0.0
4700,0.02994327,0.123302355,,,,,,,,,,,
4800,0.02984682,0.12511837,,,,,,,,,,,
4900,0.06946032,0.12506503,,,,,,,,,,,
5000,0.021452548,0.12004985,,,,,,,,,,,
5037,,,0.1229835182967238,0.1241857169255339,83274637.0,0.1264594659231085,95000000.0,4642.4965443611145,11945.54868030548,4642.4965443611145,7302.608943462372,0.401165246963501,0.0
5100,0.031414893,0.12321843,,,,,,,,,,,
5200,0.0081072925,0.12855016,,,,,,,,,,,
5300,0.009818223,0.1295266,,,,,,,,,,,
5400,0.008570014,0.12942432,,,,,,,,,,,
5434,,,0.1209944581858954,0.1241455619839567,83274637.0,0.1264268769942434,95000000.0,4998.483020782471,12320.603177309036,4998.483020782471,7321.644905805588,0.430182933807373,0.0
5500,0.047773954,0.12832712,,,,,,,,,,,
5600,0.0062756157,0.119223036,,,,,,,,,,,
5700,0.02111434,0.11801361,,,,,,,,,,,
5800,0.023265613,0.12001162,,,,,,,,,,,
5831,,,0.1229571472244255,0.1241140389484863,83274637.0,0.1263884910464638,95000000.0,5355.055433511734,12696.143450737,5355.055433511734,7340.57946562767,0.4604794979095459,0.0
5900,0.039350618,0.12456638,,,,,,,,,,,
6000,0.03774296,0.119335845,,,,,,,,,,,
6100,0.008156508,0.12354897,,,,,,,,,,,
6200,0.028842414,0.12332379,,,,,,,,,,,
6238,,,0.1216598833506962,0.1240322075151033,83274637.0,0.12630349609375,95000000.0,5711.088059902191,13071.171829938889,5711.088059902191,7359.536551237106,0.4960882663726806,0.0
6300,0.03739998,0.12344028,,,,,,,,,,,
6400,0.006926592,0.11980956,,,,,,,,,,,
6500,0.016348897,0.1208028,,,,,,,,,,,
6600,0.0058825524,0.12056561,,,,,,,,,,,
6643,,,0.1228161248372598,0.1239129795732965,83274637.0,0.1261915621196546,95000000.0,6067.5813164711,13446.6330845356,6067.5813164711,7378.465432882309,0.5320546627044678,0.0
6700,0.013346646,0.12381229,,,,,,,,,,,
6800,0.011145956,0.11867517,,,,,,,,,,,
6900,0.038181257,0.12647945,,,,,,,,,,,
7000,0.023620782,0.11642489,,,,,,,,,,,
