global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.968585,11.1184635,,,,,,,,,,,,,,,,,
1,,,0.0005762958317063,11.16889476776123,0.0,0.0004835649742744,11.166831016540527,0.0,3000.0,0.0007088489946909,11.16650104522705,0.0,3003.0,56.32971405982971,971.9515516757964,56.32971405982971,915.6216826438904,0.0,0.0
100,0.63498044,8.096216,,,,,,,,,,,,,,,,,
200,0.4618168,7.2764983,,,,,,,,,,,,,,,,,
300,0.47975618,6.6303177,,,,,,,,,,,,,,,,,
400,0.40017524,6.0507107,,,,,,,,,,,,,,,,,
500,0.420463,5.7098026,,,,,,,,,,,,,,,,,
600,0.3787709,5.420795,,,,,,,,,,,,,,,,,
700,0.4534415,5.1400223,,,,,,,,,,,,,,,,,
800,0.43992075,4.9307127,,,,,,,,,,,,,,,,,
900,0.40505096,4.738768,,,,,,,,,,,,,,,,,
1000,0.46883783,4.5331006,,,,,,,,,,,,,,,,,
1100,0.461654,4.313065,,,,,,,,,,,,,,,,,
1200,0.44391957,4.0091677,,,,,,,,,,,,,,,,,
1300,0.51721543,3.9636953,,,,,,,,,,,,,,,,,
1400,0.43756878,3.7888412,,,,,,,,,,,,,,,,,
1500,0.42364404,3.4908547,,,,,,,,,,,,,,,,,
1600,0.3975418,3.398099,,,,,,,,,,,,,,,,,
1700,0.40225747,3.3884141,,,,,,,,,,,,,,,,,
1800,0.39524487,3.275114,,,,,,,,,,,,,,,,,
1900,0.39338028,3.1324177,,,,,,,,,,,,,,,,,
2000,0.3276896,3.0238373,,,,,,,,,,,,,,,,,
2100,0.34103265,2.8937728,,,,,,,,,,,,,,,,,
2200,0.33017337,2.9190478,,,,,,,,,,,,,,,,,
2300,0.28759924,2.8668709,,,,,,,,,,,,,,,,,
2400,0.28912893,2.8202965,,,,,,,,,,,,,,,,,
2500,0.31469312,2.7052102,,,,,,,,,,,,,,,,,
2600,0.23562035,2.5972838,,,,,,,,,,,,,,,,,
2700,0.24493767,2.7604818,,,,,,,,,,,,,,,,,
2800,0.23345317,2.537966,,,,,,,,,,,,,,,,,
2900,0.24413788,2.5558505,,,,,,,,,,,,,,,,,
3000,0.21560532,2.5702558,,,,,,,,,,,,,,,,,
3100,0.20919903,2.4945462,,,,,,,,,,,,,,,,,
3200,0.19389224,2.4558115,,,,,,,,,,,,,,,,,
3300,0.2093914,2.433736,,,,,,,,,,,,,,,,,
3400,0.2018928,2.58158,,,,,,,,,,,,,,,,,
3500,0.1852547,2.3258877,,,,,,,,,,,,,,,,,
3600,0.20150663,2.4600847,,,,,,,,,,,,,,,,,
3700,0.1923175,2.3883615,,,,,,,,,,,,,,,,,
3800,0.21767053,2.4161723,,,,,,,,,,,,,,,,,
3900,0.20428836,2.3472648,,,,,,,,,,,,,,,,,
4000,0.17762637,2.3624346,,,,,,,,,,,,,,,,,
4100,0.17080511,2.2531998,,,,,,,,,,,,,,,,,
4200,0.21160819,2.329182,,,,,,,,,,,,,,,,,
4300,0.18203439,2.2625585,,,,,,,,,,,,,,,,,
4400,0.20157786,2.2237186,,,,,,,,,,,,,,,,,
4467,,,0.5854003429412842,2.217769861221313,27.732827572948167,0.5973515510559082,2.1220505237579346,23.95695322784985,3000.0,0.6015571355819702,2.089965343475342,22.5874156799718,3003.0,700.3005366325378,2130.9394702911377,700.3005366325378,1430.5752911567688,0.0300424098968505,0.0
4500,0.18040515,2.1505466,,,,,,,,,,,,,,,,,
4600,0.16501164,2.2157903,,,,,,,,,,,,,,,,,
4700,0.16768356,2.2640831,,,,,,,,,,,,,,,,,
4800,0.18798335,2.207865,,,,,,,,,,,,,,,,,
4900,0.16670397,2.197389,,,,,,,,,,,,,,,,,
5000,0.15546729,2.1700706,,,,,,,,,,,,,,,,,
