accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,total_duration,train/loss,validation/loss,validation/num_examples
1831.8162851333616,0.0,41.36652088165283,1,0,41.36652088165283,0.399964457292095,95000000.0,1873.6149427890773,0.399287606941834,0.3979974678358515,83274637.0
2940.8095242977142,0.5121884346008301,397.3475036621094,197,0,397.3475036621094,0.1321080859684994,95000000.0,3340.0338048934937,0.1302058985028082,0.1289203821352676,83274637.0
4023.081981658936,0.6163341999053955,753.356850862503,392,0,753.356850862503,0.130665130272795,95000000.0,4779.321565628052,0.1283720068764744,0.1278082029558634,83274637.0
5038.486275672913,0.6643757820129395,1109.834445476532,594,0,1109.834445476532,0.1294298144969739,95000000.0,6152.159965515137,0.1241601551125295,0.1269346634032629,83274637.0
6094.010489225388,0.7120144367218018,1465.4043946266174,791,0,1465.4043946266174,0.1295376936170076,95000000.0,7564.201865196228,0.1268421961489303,0.1266785633109001,83274637.0
7120.085099458695,0.7601885795593262,1822.0015342235563,985,0,1822.0015342235563,0.1293966921952097,95000000.0,8947.825280427933,0.1249502857081766,0.1269006149265071,83274637.0
8188.330286026001,0.8090195655822754,2178.937162399292,1196,0,2178.937162399292,0.1287103979474519,95000000.0,10373.958756923676,0.1249793855736873,0.1261954768021837,83274637.0
9297.05163383484,0.8683135509490967,2536.071469306946,1403,0,2536.071469306946,0.1280527642979672,95000000.0,11840.777197360992,0.1250355848141077,0.1257278215159351,83274637.0
10288.750719308851,0.9160735607147216,2892.5872025489807,1603,0,2892.5872025489807,0.1278285287763093,95000000.0,13189.936437606812,0.1232477323046405,0.1253356360859408,83274637.0
11268.649101257324,0.9646890163421632,3249.352519273758,1814,0,3249.352519273758,0.1284963934143066,95000000.0,14527.533849716188,0.1242478006920086,0.1259764666467185,83274637.0
12129.224985837936,1.0155367851257324,3606.382112264633,2042,0,3606.382112264633,0.1275934556439851,95000000.0,15746.06958079338,0.1240314867262463,0.1252132363785878,83274637.0
12946.78789782524,1.063035488128662,3962.202461719513,2255,0,3962.202461719513,0.1276028645051655,95000000.0,16920.37284064293,0.1262137057828036,0.1251699595984765,83274637.0
13620.103700876236,1.1131985187530518,4318.956491231918,2471,0,4318.956491231918,0.1271238703266344,95000000.0,17951.365277290344,0.1241562193039362,0.1248729191606857,83274637.0
14199.279566526411,1.1623358726501465,4676.181266069412,2694,0,4676.181266069412,0.1269552721739116,95000000.0,18888.679444551468,0.1235005866018672,0.1244572210646678,83274637.0
