global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.5404425,1.0485064,,,,,,,,,,,,,,
1,,,0.1863093035561698,1.0694075993129186,0.1828546990956492,1.0639818800119585,3554.0,0.2057333538499633,1.057950571374965,3581.0,272.0154337882996,1104.0184016227722,272.0154337882996,832.002769947052,0.0,0.0
100,0.4013281,0.2423821,,,,,,,,,,,,,,
200,0.5487707,0.31683487,,,,,,,,,,,,,,
268,,,0.7222232137407575,0.2923815250396728,0.6973954578028277,0.3110986987593205,3554.0,0.7149078360618543,0.3133410272968444,3581.0,382.8766484260559,1218.69065451622,382.8766484260559,835.7692911624908,0.0416243076324462,0.0
300,0.24317613,0.2748242,,,,,,,,,,,,,,
330,,,0.7255090985979352,0.2890006133488246,0.7006930049108399,0.3076107989017656,3554.0,0.7181500453783859,0.3097344819010053,3581.0,493.85169506073,1333.252446889877,493.85169506073,839.307014465332,0.0897467136383056,0.0
393,,,0.7282876287187848,0.2857043402535574,0.7037719657867896,0.304260975199599,3554.0,0.7210308502120567,0.3063140587911896,3581.0,604.3663773536682,1447.3477263450625,604.3663773536682,842.8417212963104,0.1347296237945556,0.0
400,0.52686757,0.32186228,,,,,,,,,,,,,,
460,,,0.7304342814854213,0.2829277685710362,0.7055803512547482,0.3017420127409257,3554.0,0.7229565681941148,0.303548063455564,3581.0,715.816132068634,1562.3784148693085,715.816132068634,846.3750414848328,0.1813907623291015,0.0
500,0.25580052,0.29545173,,,,,,,,,,,,,,
524,,,0.7320622035435268,0.2810746942247663,0.7069766377892868,0.3000734207934721,3554.0,0.7244742488568138,0.3017354164666818,3581.0,827.1467859745026,1677.289485692978,827.1467859745026,849.9105653762817,0.2253835201263427,0.0
587,,,0.7281065668378558,0.2892445836748396,0.703487020566615,0.3077363726391038,3554.0,0.7207335999677116,0.3100637751762776,3581.0,937.7872915267944,1791.5031530857086,937.7872915267944,853.4425871372223,0.2655549049377441,0.0
600,0.114806175,0.3189169,,,,,,,,,,,,,,
649,,,0.730454649244036,0.2846008198601858,0.7057756500158272,0.3030156107115222,3554.0,0.7229981559576585,0.3052171303952283,3581.0,1048.1001861095428,1905.3912556171413,1048.1001861095428,856.9728586673737,0.3095951080322265,0.0
700,0.3779361,0.28171855,,,,,,,,,,,,,,
708,,,0.7322895867483956,0.2815319810594831,0.7074542713755627,0.3001688032520575,3554.0,0.7247500234527716,0.3021009115492356,3581.0,1158.3528859615326,2019.185027360916,1158.3528859615326,860.4678642749786,0.3547873497009277,0.0
769,,,0.7337658745901925,0.2795136485780988,0.7088215687869303,0.2983764236269872,3554.0,0.7261629847633343,0.300134014863603,3581.0,1270.570377826691,2134.980078458786,1270.570377826691,863.9991221427917,0.4002139568328857,0.0
800,0.158304,0.26463032,,,,,,,,,,,,,,
827,,,0.7349380084446498,0.2784309216908046,0.7099320857660383,0.2973742723867473,3554.0,0.7272467209752862,0.2990926845351333,3581.0,1382.0839533805847,2250.072041988373,1382.0839533805847,867.5295317173004,0.4473352432250976,0.0
887,,,0.7358830315726144,0.2775156157357352,0.710765763488323,0.2965555013936761,3554.0,0.7280600685475426,0.2982698944952527,3581.0,1493.7735877037048,2365.298014402389,1493.7735877037048,871.0245723724365,0.4877848625183105,0.0
900,0.25381866,0.3030347,,,,,,,,,,,,,,
948,,,0.7365342548915318,0.2769491672515869,0.7114158205323228,0.2960342467334341,3554.0,0.7287058378857163,0.2977185839216524,3581.0,1604.5882620811462,2479.6955218315125,1604.5882620811462,874.5613298416138,0.5329718589782715,0.0
1000,0.19385336,0.2737102,,,,,,,,,,,,,,
1100,0.7406173,0.3898389,,,,,,,,,,,,,,
1200,0.24214987,0.23273674,,,,,,,,,,,,,,
1300,0.08606011,0.25808868,,,,,,,,,,,,,,
1400,0.038306944,0.39368993,,,,,,,,,,,,,,
1500,0.19891368,0.30640507,,,,,,,,,,,,,,
1600,0.15261045,0.26593143,,,,,,,,,,,,,,
