accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,test/ssim,total_duration,train/loss,train/ssim,validation/loss,validation/num_examples,validation/ssim
930.3442664146424,0.0,343.835018157959,1,0,343.835018157959,0.9377988864842224,3581.0,0.2288926078500244,1274.8032772541046,0.9362344741821288,0.2125891617366246,0.9394694743159115,3554.0,0.2058482258656619
936.3148136138916,0.4363574981689453,453.0743441581726,263,0,453.0743441581726,0.3027907911874302,3581.0,0.7225788694891441,1391.7612257003784,0.2807900735310146,0.7287670544215611,0.3009107393298044,3554.0,0.7053854646612971
942.2776205539705,0.4858255386352539,563.3923666477203,313,0,563.3923666477203,0.299792040729283,3581.0,0.7294488953199176,1509.2086732387545,0.2773317950112479,0.7367958341326032,0.2980022441153453,3554.0,0.7123015000703433
948.2388935089112,0.534034013748169,674.8455159664154,371,0,674.8455159664154,0.2978482218435841,3581.0,0.7295510921355767,1627.793704509735,0.275606632232666,0.736102649143764,0.2961414103167206,3554.0,0.7123484871799382
954.19988656044,0.5833034515380859,784.2530097961426,429,0,784.2530097961426,0.2959081526742704,3581.0,0.7312058760646467,1744.3372509479525,0.2736986705235072,0.7382606778826032,0.2942730888061867,3554.0,0.7140421526580966
960.1702663898468,0.632077693939209,895.0718679428101,486,0,895.0718679428101,0.2953972026843061,3581.0,0.7318389645437727,1862.297569990158,0.2732093504496983,0.7388614927019391,0.2938702979916995,3554.0,0.7144050662545723
966.1158962249756,0.6824820041656494,1005.5711658000946,542,0,1005.5711658000946,0.2944384683813006,3581.0,0.733857675492181,1979.9160523414607,0.2721255166190011,0.7416188376290458,0.2929515076542276,3554.0,0.7165006638646595
972.085560798645,0.7325539588928223,1114.98353266716,598,0,1114.98353266716,0.293174507164549,3581.0,0.7336778936356814,2096.464709997177,0.2711377484457833,0.740386962890625,0.2916616290623241,3554.0,0.716525393922341
978.0260398387908,0.783738374710083,1224.9945673942566,653,0,1224.9945673942566,0.2925905740583985,3581.0,0.7352832494851298,2213.582183599472,0.2701388767787388,0.7429717608860561,0.2910840791735544,3554.0,0.7179490209095385
984.006947517395,0.841055154800415,1337.0259029865265,708,0,1337.0259029865265,0.2923327299244275,3581.0,0.735130738293249,2332.77357506752,0.2702761037009103,0.7420016016278949,0.2908139376406865,3554.0,0.7178921417768711
989.968781709671,0.8890719413757324,1446.8191089630127,765,0,1446.8191089630127,0.2923577507592153,3581.0,0.7354047402960067,2449.6983222961426,0.2703218119485037,0.742687293461391,0.2909208264455543,3554.0,0.7179997862223902
995.93425655365,0.9372141361236572,1558.0455889701843,823,0,1558.0455889701843,0.2926306619353881,3581.0,0.7367249131702038,2568.060847520828,0.2696893896375383,0.7446639878409249,0.2909787016499894,3554.0,0.7195361410558525
1001.9031405448914,0.9835038185119628,1667.6630053520205,881,0,1667.6630053520205,0.2912923199808887,3581.0,0.7365048389067299,2684.8165624141693,0.2690816947392055,0.7439416476658413,0.2899162365468486,3554.0,0.7191109214529403
1007.8562915325164,1.0306730270385742,1779.3019270896912,934,0,1779.3019270896912,0.2918379718915805,3581.0,0.7364601150167551,2803.575070619583,0.2698479039328439,0.7430001667567662,0.290354885944974,3554.0,0.7192986638075056
1013.7385659217834,1.078930377960205,1888.495165586472,1705,0,1888.495165586472,0.2893654770839151,3581.0,0.738554433882819,2920.0219724178314,0.2664324385779245,0.7469324384416852,0.287915128365486,3554.0,0.7210847235289463
1019.6342453956604,1.1243815422058103,1997.281934261322,3964,0,1997.281934261322,0.287977707049794,3581.0,0.74052698923136,3036.500917911529,0.2649681227547781,0.748638493674142,0.2866507182982643,3554.0,0.7232132258546707
1025.538331031799,1.171915054321289,2106.0691368579865,6227,0,2106.0691368579865,0.28715256491509,3581.0,0.7427186643701131,3152.9908380508423,0.2637232712336949,0.7513306481497628,0.2857619303293824,3554.0,0.7255947304093978
,,,6227,0,2106.0691368579865,,,,,,,,,
