accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,test/ssim,total_duration,train/loss,train/ssim,validation/loss,validation/num_examples,validation/ssim
997.3023977279664,0.0,276.87992691993713,1,0,276.87992691993713,0.9618947003281206,3581.0,0.2061550094574664,1274.1825234889984,0.9611945152282716,0.1875261068344116,0.962825296430958,3554.0,0.1832178874705437
1000.8910071849824,0.0701143741607666,387.42562079429626,255,0,387.42562079429626,0.3193345057901075,3581.0,0.7123551655002094,1388.3890671730042,0.2915645326886858,0.7208050319126674,0.3170367634289708,3554.0,0.6948973785039744
1004.4155762195588,0.1177473068237304,497.989734172821,306,0,497.989734172821,0.3139589123804454,3581.0,0.7166357735487643,1502.526080369949,0.2862111500331333,0.7253682953970773,0.3120094174807435,3554.0,0.6990882302511255
1007.910073041916,0.1643924713134765,608.0058991909027,357,0,608.0058991909027,0.3139143930204552,3581.0,0.7172983143456786,1616.0840890407562,0.2861473560333252,0.7262207439967564,0.3120683574515511,3554.0,0.7000046162774338
1011.444319486618,0.2117412090301513,719.4544117450714,406,0,719.4544117450714,0.3093884171669924,3581.0,0.7211498184864563,1731.1149237155914,0.2819872753960745,0.7299474307468959,0.3073926591846335,3554.0,0.7039809347741981
1014.9688236713408,0.2585301399230957,830.2988088130951,458,0,830.2988088130951,0.3077372466009843,3581.0,0.7226679763857861,1845.5313789844515,0.2804041249411447,0.7316170419965472,0.3057200486028067,3554.0,0.7055674366690701
1018.5011851787568,0.3040268421173095,943.2200458049774,510,0,943.2200458049774,0.3054221035281695,3581.0,0.7227483566697501,1962.031202793121,0.2782577787126813,0.7317018508911133,0.303411806843961,3554.0,0.7055260825170583
1022.0298244953156,0.3501572608947754,1054.9239909648895,565,0,1054.9239909648895,0.3047828450611735,3581.0,0.7240606892278693,2077.310613393784,0.2773851156234741,0.7332594054085868,0.3029397375206633,3554.0,0.7068028404394696
1025.7520170211792,0.3941712379455566,1165.2822766304016,617,0,1165.2822766304016,0.3053106687748708,3581.0,0.7228923457789375,2191.4357821941376,0.2781370878219604,0.7319633620125907,0.3037448039401027,3554.0,0.7053801064821328
1029.2803752422333,0.4396889209747314,1277.0786108970642,670,0,1277.0786108970642,0.3035961620902855,3581.0,0.7239405619502234,2306.806695461273,0.2763028826032366,0.733283451625279,0.3017789017436339,3554.0,0.7066734884988745
1032.7927565574646,0.4883582592010498,1388.3266580104828,720,0,1388.3266580104828,0.3011452792843305,3581.0,0.7257833089351787,2421.6165013313293,0.2741661752973284,0.7346577644348145,0.2992560580397967,3554.0,0.7085930905317952
1036.3204681873322,0.5359559059143066,1499.0385749340055,774,0,1499.0385749340055,0.3001987486037419,3581.0,0.7266733552516755,2535.9044182300568,0.2733869722911289,0.7350692749023438,0.2984335088434686,3554.0,0.7095206050840602
1039.8455035686493,0.5850632190704346,1609.8892035484314,827,0,1609.8892035484314,0.3030686451715652,3581.0,0.719993883189926,2650.3299119472504,0.2771104914801461,0.7261554173060826,0.3010944287026941,3554.0,0.7036567649347566
1043.3810577392578,0.6320960521697998,1722.8244545459747,882,0,1722.8244545459747,0.2986298331798904,3581.0,0.7280762264163292,2766.8484332561493,0.2719544001988002,0.736959729875837,0.2968623258454382,3554.0,0.7110013859823439
1046.9115595817566,0.6771602630615234,1833.1660060882568,932,0,1833.1660060882568,0.2976623722642069,3581.0,0.7290148145158475,2880.7662217617035,0.2709306648799351,0.7383340426853725,0.2960047767480304,3554.0,0.7118105397307611
1050.4195647239685,0.7245242595672607,1943.302890777588,1247,0,1943.302890777588,0.2985671447395979,3581.0,0.7279340099003421,2994.46107172966,0.2717940126146589,0.7369511468069894,0.2969223992772228,3554.0,0.7107348509162211
1053.9325251579285,0.7717370986938477,2053.3897366523743,2253,0,2053.3897366523743,0.2929098112760925,3581.0,0.7328533650909314,3108.115088224411,0.2660247768674578,0.7423875672476632,0.2914303343283976,3554.0,0.7153948181186691
1057.4439101219175,0.818993091583252,2163.520350217819,3260,0,2163.520350217819,0.2913018647135053,3581.0,0.7377235649085451,3221.811404466629,0.2640711580004011,0.7476110458374023,0.2897857854925788,3554.0,0.7205358536376266
1060.9547655582428,0.8640131950378418,2273.6405034065247,4267,0,2273.6405034065247,0.2901042053001082,3581.0,0.7385367761274784,3335.4945783615112,0.2628958565848214,0.7484581811087472,0.2888268088113745,3554.0,0.7211489529843135
1064.4681928157806,0.909031629562378,2383.7668120861053,5274,0,2383.7668120861053,0.2898743476857023,3581.0,0.7379512749581123,3449.186339378357,0.2628825221742902,0.7475536210196358,0.2884323987386571,3554.0,0.7206704950627814
1067.9804801940918,0.9543561935424804,2493.8973457813263,6281,0,2493.8973457813263,0.2894723440008901,3581.0,0.7390526007487433,3562.881601333618,0.2621775354657854,0.7489886283874512,0.2880353095763576,3554.0,0.7218272435108328
1071.493370771408,1.0004632472991943,2604.0060338974,7288,0,2604.0060338974,0.2890468534561749,3581.0,0.7380789698451898,3676.5562777519226,0.2618957247052874,0.7477724211556571,0.2876839538471177,3554.0,0.7206270113780248
1075.0027692317965,1.046729326248169,2714.150892734528,8295,0,2714.150892734528,0.2881921567386903,3581.0,0.7408485785438774,3790.263821601868,0.2609454904283796,0.7508725438799176,0.2868765861584219,3554.0,0.7234840199862831
1078.421365261078,1.0937721729278564,2824.2191891670227,9300,0,2824.2191891670227,0.2879455617538746,3581.0,0.7403601609405543,3903.804456949234,0.260528632572719,0.7504778589521136,0.2866453429454488,3554.0,0.7229649635533906
1081.936805486679,1.1406745910644531,2934.3234000206,10307,0,2934.3234000206,0.2877590304078818,3581.0,0.7413053621762427,4017.477892875672,0.2601602418082101,0.7517249924795968,0.2864659813326533,3554.0,0.7240330959614167
,,,10307,0,2934.3234000205994,,,,,,,,,
