accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/num_examples,total_duration,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples
188.77722454071045,0.0,150.7055730819702,1,0,150.7055730819702,0.0008,6.91231640625,10000.0,340.2886357307434,0.0013153698979591,6.912052699497768,0.00074,6.91235625,50000.0
312.7835910320282,0.5078859329223633,2142.5213186740875,3344,0,2142.5213186740875,0.3113,3.361108203125,10000.0,2464.4609546661377,0.4176698022959184,3.265187166175064,0.38904,3.383346875,50000.0
442.6411120891571,2.1586294174194336,4135.719356536865,6050,0,4135.719356536865,0.4121,2.8287107421875,10000.0,4593.669095754623,0.4943997130102041,3.239660769092793,0.48012,3.0509978125,50000.0
587.7142751216888,5.326889276504517,6126.245630741119,8673,0,6126.245630741119,0.4546,2.58441875,10000.0,6736.159455776215,0.5715680803571429,2.651161660953444,0.52428,2.773695625,50000.0
732.4031991958618,8.69505524635315,8116.76309633255,11149,0,8116.76309633255,0.4916,2.378035546875,10000.0,8878.775535583496,0.5758928571428571,3.0442641900510203,0.56754,2.56946796875,50000.0
826.7339041233063,11.682251691818236,10106.717884540558,13741,0,10106.717884540558,0.5126,2.2936521484375,10000.0,10970.33829689026,0.6418606505102041,2.474764609823421,0.58178,2.5849209375,50000.0
930.7572448253632,14.74776291847229,12101.562808275225,16218,0,12101.562808275225,0.5304,2.2456328125,10000.0,13076.448040246964,0.6651586415816326,2.352184996312978,0.59474,2.46920890625,50000.0
1031.647204399109,18.07192635536194,14092.115986824036,18728,0,14092.115986824036,0.5463,2.1264009765625,10000.0,15175.20503616333,0.6834542410714286,2.3517854651626275,0.59314,2.5628696875,50000.0
1142.8623056411743,21.28690457344055,16083.83056497574,21221,0,16083.83056497574,0.5524,2.140835546875,10000.0,17285.71979379654,0.6928611288265306,2.31873150261081,0.60776,2.444494375,50000.0
1246.0550265312197,24.646905422210693,18083.66670680046,23723,0,18083.66670680046,0.5499,2.13894609375,10000.0,19395.951748609543,0.7225566007653061,2.063065509406888,0.6102,2.45459890625,50000.0
1345.7657616138458,27.758846759796143,20075.247025489807,26233,0,20075.247025489807,0.5591,2.097612109375,10000.0,21494.26897072792,0.7348732461734694,2.041498456682478,0.61576,2.420504375,50000.0
1454.1358177661896,30.712867975234985,22066.196348428726,28726,0,22066.196348428726,0.5661,2.0865439453125,10000.0,23600.388856887817,0.7093032525510204,2.425780627192283,0.62104,2.37732734375,50000.0
1562.0644145011902,33.81199502944946,24060.17311644554,31230,0,24060.17311644554,0.5736,2.0725640625,10000.0,25709.30176687241,0.745735012755102,2.0597506153340244,0.62118,2.37827546875,50000.0
1658.6758842468262,36.96455240249634,26050.13650894165,33765,0,26050.13650894165,0.5659,2.102561328125,10000.0,27802.846329927444,0.7195073341836735,2.442172614895568,0.61906,2.429184375,50000.0
1755.7443289756775,40.1999785900116,28040.15886592865,36263,0,28040.15886592865,0.5628,2.128616796875,10000.0,29897.087131261826,0.7636519451530612,1.990099848533164,0.6187,2.44253359375,50000.0
1866.6322655677795,43.13109707832336,30031.48522210121,38738,0,30031.48522210121,0.5655,2.1024640625,10000.0,32005.936378717422,0.7419284119897959,2.284257849868463,0.6249,2.39542875,50000.0
1964.387528896332,46.2965259552002,32022.5163435936,41253,0,32022.5163435936,0.5727,2.086158984375,10000.0,34102.02361083031,0.7927694515306123,1.7550173389668366,0.62434,2.4376171875,50000.0
2089.978428125381,49.62145519256592,34012.5615336895,43725,0,34012.5615336895,0.568,2.1229220703125,10000.0,36225.0079267025,0.7605827487244898,2.177746519750478,0.62982,2.3543309375,50000.0
2193.5821743011475,53.13948941230774,36004.61315393448,46246,0,36004.61315393448,0.5728,2.127476953125,10000.0,38328.19444108009,0.7786989795918368,2.027104903240593,0.62882,2.3840334375,50000.0
2297.730091571808,56.34580326080322,37994.70806622505,48754,0,37994.70806622505,0.5689,2.11959609375,10000.0,40429.31459546089,0.7750916772959183,2.114216084382972,0.61624,2.56586109375,50000.0
2401.3880965709686,59.52431964874268,39985.28806066513,51260,0,39985.28806066513,0.5739,2.1123953125,10000.0,42530.87022829056,0.8179209183673469,1.6481838615573183,0.62482,2.45400125,50000.0
2502.030660152436,63.01778483390808,41981.26991581917,53751,0,41981.26991581917,0.5696,2.14885859375,10000.0,44634.576855421066,0.8044882015306123,1.8488864509426817,0.61966,2.46928671875,50000.0
2612.2259814739227,66.31385731697083,43975.1186068058,56246,0,43975.1186068058,0.569,2.14299375,10000.0,46745.89484453201,0.7766462053571429,2.1742348184390945,0.6237,2.448865625,50000.0
