accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/num_examples,total_duration,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples
192.24606561660767,0.0,157.80305647850037,1,0,157.80305647850037,0.0009,6.9120546875,10000.0,350.8092033863068,0.0008370535714285,6.911466637436225,0.00068,6.91003875,50000.0
316.6454236507416,0.121838092803955,2151.802186489105,1971,0,2151.802186489105,0.2885,3.45745859375,10000.0,2472.1111059188843,0.3750797193877551,3.873447963169643,0.35952,3.6483,50000.0
437.28065395355225,0.43792724609375,4146.215371847153,4780,0,4146.215371847153,0.4033,2.771323046875,10000.0,4591.411038160324,0.5024713010204082,3.92290668098294,0.48724,3.446144375,50000.0
548.3084943294525,1.4617650508880615,6137.903583288193,7889,0,6137.903583288193,0.4671,2.454146484375,10000.0,6699.426435470581,0.5936503507653061,3.1008468939333547,0.54112,3.0384459375,50000.0
668.6344285011292,2.233588933944702,8129.7052636146545,10877,0,8129.7052636146545,0.4694,2.4148857421875,10000.0,8817.070690631866,0.6051698022959183,3.2009978002431443,0.53488,3.4405696875,50000.0
758.4476318359375,3.161886215209961,10127.805551052094,13712,0,10127.805551052094,0.4905,2.34163984375,10000.0,10909.767317056656,0.5667051977040817,4.27611121352838,0.55056,3.4153259375,50000.0
872.0613451004028,4.462879419326782,12119.1119055748,16765,0,12119.1119055748,0.5094,2.2581015625,10000.0,13020.619161844254,0.6277104591836735,3.38975867446588,0.58868,2.8897490625,50000.0
1003.8798513412476,6.391111850738525,14111.593571662905,19707,0,14111.593571662905,0.5158,2.2285828125,10000.0,15151.919314146042,0.6341876594387755,3.4593493403220665,0.59146,2.8895190625,50000.0
1104.818850517273,9.051761150360107,16102.126075983047,22578,0,16102.126075983047,0.5199,2.21466796875,10000.0,17251.069162607193,0.6571269132653061,3.188676172373246,0.5941,3.0424515625,50000.0
1225.7048602104187,12.202388048171995,18092.04613137245,25602,0,18092.04613137245,0.5287,2.14677265625,10000.0,19370.25017762184,0.6317163584183674,3.6701940419722576,0.57916,3.1950690625,50000.0
1347.855801820755,15.226665735244753,20083.23400402069,28483,0,20083.23400402069,0.5255,2.1704171875,10000.0,21491.551558971405,0.6742067920918368,2.9850927858936545,0.59608,3.0847846875,50000.0
1450.3201296329498,18.270997524261475,22072.617871046063,31326,0,22072.617871046063,0.5362,2.1419384765625,10000.0,23591.724267721176,0.6762197066326531,2.995456617705676,0.59718,2.9752590625,50000.0
