accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/bleu,test/loss,test/num_examples,total_duration,train/accuracy,train/bleu,train/loss,validation/accuracy,validation/bleu,validation/loss,validation/num_examples
425.0020112991333,0.0,65.53772497177124,1,0,65.53772497177124,0.0007088489919237,0.0,11.549445122305505,3003.0,491.2394142150879,0.0005437861107964,0.0,11.553593378271213,0.0004835649898947,0.0,11.55263883894806,3000.0
623.9844045639038,0.061716079711914,707.1075260639191,4697,0,707.1075260639191,0.6012782522805182,22.808912387941515,2.190454868979141,3003.0,1334.852522611618,0.5848968532264676,28.09451567130163,2.328670939307345,0.5980459014767331,23.98547304626153,2.2067465065529257,3000.0
824.4895646572113,0.1126232147216796,1349.1424477100372,9415,0,1349.1424477100372,0.6274010807042008,24.254375007959545,1.9151850560687933,3003.0,2180.0336015224457,0.612021357043012,29.2071301483327,2.063081833337153,0.6225341285290945,25.723348517245867,1.9514001686277915,3000.0
1027.9344441890717,0.1642558574676513,1991.1351420879364,14140,0,1991.1351420879364,0.6421242228807158,25.76324128643797,1.7946800011620476,3003.0,3028.0959498882294,0.6296406398280376,29.919444847628352,1.8936797544048205,0.6320070426901092,26.20198360892034,1.8475356009224928,3000.0
1236.1004705429075,0.2145380973815918,2633.077742576599,18863,0,2633.077742576599,0.6513741212015571,26.197937788032856,1.725603538434722,3003.0,3880.841099023819,0.6965770732827935,35.03590991367482,1.4697924742993338,0.6400292618814398,26.97416738396609,1.7836746057085466,3000.0
1439.776876449585,0.2622303962707519,3275.07626414299,23586,0,3275.07626414299,0.6554877694497705,26.31237388407668,1.6809035645807913,3003.0,4729.152275562286,0.6322249065548363,30.57505519394989,1.8468699431351991,0.646910763660711,27.353459167739704,1.7315788086942503,3000.0
1671.2715508937836,0.3098223209381103,3917.095271587372,28309,0,3917.095271587372,0.6604961942943466,26.69575064319137,1.6448270728022776,3003.0,5605.312307834625,0.6397523318661771,31.282059220088115,1.7980546520445164,0.6483118622211752,27.42624021662576,1.708281089199142,3000.0
1877.6235733032229,0.3580293655395508,4559.029941082001,33030,0,4559.029941082001,0.6632386264598222,26.78415292544452,1.614213838533496,3003.0,6456.241726875305,0.6490191390283613,31.87320337257292,1.714415148125377,0.6531103148132075,27.51455857108349,1.6726561434452143,3000.0
2101.734126806259,0.4059643745422363,5201.0278673172,37754,0,5201.0278673172,0.6657951310208587,27.089635926661,1.5921403826041485,3003.0,7324.991278886795,0.6949022920281253,35.331221150985726,1.4389238675406355,0.6559373101387459,28.12123732327929,1.6595229755365712,3000.0
2315.379721164704,0.4679334163665771,5842.909202098846,42473,0,5842.909202098846,0.6681773284527337,27.29536048491156,1.5773457018767068,3003.0,8183.181020498276,0.6478425383510747,32.09021969468247,1.7252358120968294,0.6584295297020496,27.99622659300953,1.634871041586589,3000.0
2514.294106245041,0.5168001651763916,6484.857287883759,47193,0,6484.857287883759,0.6753471616989135,27.98516720661065,1.543284091569345,3003.0,9026.67694926262,0.6539346420191152,31.865241413882515,1.672609526126023,0.6627940137134072,28.311514192397457,1.6203104270250834,3000.0
2765.866277694702,0.5664877891540527,7126.87716794014,51916,0,7126.87716794014,0.6724769043053861,27.9149717127572,1.5413656237290103,3003.0,9922.90132331848,0.6716834081844881,33.76932824305057,1.568148119579005,0.6606613681169483,28.274618071446,1.6119057730220332,3000.0
2988.6339168548584,0.6134414672851562,7768.772498130798,56638,0,7768.772498130798,0.6766137935041543,28.53661624855449,1.5174759238277846,3003.0,10790.20635008812,0.7063553052633994,36.25685519734223,1.3565791058299976,0.6655342153228107,28.74268731537372,1.5932406681256277,3000.0
3189.6836211681366,0.6599233150482178,8410.808666706085,61357,0,8410.808666706085,0.674777758410319,27.83851220983469,1.5242904247283713,3003.0,11635.92036819458,0.6629025655021834,32.550583388435925,1.6135879361126273,0.6645546862407161,28.78790063337519,1.5954190354118365,3000.0
3396.297981739044,0.7194921970367432,9052.707796812056,66077,0,9052.707796812056,0.6771250944163616,28.1861642145888,1.513892096624252,3003.0,12487.08143234253,0.6739003335970011,33.86357359318756,1.544519902614896,0.6655838117320306,28.629963073962845,1.5919941708720289,3000.0
3614.50440120697,0.7701315879821777,9694.59287405014,70796,0,9694.59287405014,0.6782639009935506,28.186454326674568,1.5136617751728545,3003.0,13349.825181484222,0.687330270078262,34.60821709373133,1.4472241996195758,0.6663649551772451,28.6539403279173,1.5900344346319326,3000.0
3821.2551612854,0.818732500076294,10336.606457948685,75517,0,10336.606457948685,0.6785892743013189,27.926176309131726,1.5189794136017662,3003.0,14201.231141090391,0.7228332201855624,38.29649669465068,1.2728894404842723,0.6668361210648349,28.94092397481339,1.5916760564035164,3000.0
4019.187333583832,0.866041898727417,10978.57850408554,80239,0,10978.57850408554,0.6761838359188891,27.667936367410736,1.5301850923827784,3003.0,15043.77008318901,0.6828790227003373,35.23918572378658,1.4775403979396482,0.6640711212508215,28.43566783406886,1.6085442601455655,3000.0
4220.72979259491,0.9160687923431396,11620.495541334152,84959,0,11620.495541334152,0.6754982278775202,27.629675484130622,1.546923297600372,3003.0,15889.87009525299,0.6981962366207513,36.26989510055893,1.3980960355022805,0.6608101573446082,28.46841526278691,1.6323371687889796,3000.0
4424.922278642654,0.9668231010437012,12262.528553724287,89681,0,12262.528553724287,0.6748707222125385,27.80822084444064,1.5567700162686653,3003.0,16738.73176264763,0.7154036009599527,37.36354699812433,1.2892287536538485,0.6617896864267027,28.048985634937665,1.6371398835724291,3000.0
4622.229020118713,1.0182092189788818,12904.447223901749,94405,0,12904.447223901749,0.6723839405031666,27.15561893935537,1.5758433923072457,3003.0,17580.59601163864,0.751018959516395,39.65347194137296,1.1325069552573732,0.6607853591399983,28.34945488269432,1.6606989528958105,3000.0
4817.697827339172,1.0693340301513672,13546.431464910507,99131,0,13546.431464910507,0.6713497182034746,27.160499694980647,1.5995437147754343,3003.0,18420.707131147385,0.7166867297219833,37.24721243120592,1.2931754263399255,0.6584047314974396,27.68845891567417,1.6819593448934298,3000.0
5013.116411924362,1.1208624839782717,14188.43431687355,103851,0,14188.43431687355,0.6712335134507001,27.09962456345154,1.616390317238975,3003.0,19260.779977798466,0.7333863817210413,38.03911833147796,1.2077998891667614,0.6577723772798849,27.892355185023906,1.7055976522299785,3000.0
5200.51824760437,1.1718528270721436,14830.422261238098,108571,0,14830.422261238098,0.6691999302771483,26.693416718097875,1.6304654363488469,3003.0,20092.810160160065,0.7461409834946707,39.70514350926944,1.1490613553764604,0.6567432517885705,27.57733443920606,1.720361883299649,3000.0
5386.9725069999695,1.2247600555419922,15472.336146831512,113292,0,15472.336146831512,0.668398117483005,26.490937730768053,1.644080275695776,3003.0,20923.82696700096,0.753867068796125,40.293957255975386,1.1242606444353052,0.6558381173203061,27.69046703524476,1.7330610826276178,3000.0
5571.501985788345,1.274552822113037,16114.269628286362,118010,0,16114.269628286362,0.6685143222357794,26.661759731960576,1.6488270582766835,3003.0,21752.91965985298,0.7486033519553073,39.89038172293284,1.1502629089774703,0.6548709873405165,27.781188582691826,1.7393809438196677,3000.0
5759.935382604599,1.3254871368408203,16384.931125164032,120001,0,16384.931125164032,0.6683283946313404,26.623719403758283,1.6490311428737436,3003.0,22213.78614997864,0.7531297639395759,39.76198249125843,1.1224615781055112,0.6551437675912264,27.702213068740623,1.739675035027464,3000.0
,,,120001,0,16384.931125164032,,,,,,,,,,,,
