accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,test/ppl,total_duration,train/loss,train/ppl,validation/loss,validation/num_examples,validation/ppl
335.931485414505,0.0,20.48937511444092,1,0,20.48937511444092,0.0,0.0,1.0,356.4209544658661,11.012572288513184,60631.64851860736,11.012310981750488,100000.0,60615.80712863738
668.4215061664581,0.0699305534362793,2592.545851945877,5518,0,2592.545851945877,0.0,0.0,1.0,3261.0721950531006,3.6701431274414062,39.25752428722655,3.673818826675415,100000.0,39.4020886639981
1000.6015589237212,0.117136001586914,5164.603888750076,11086,0,5164.603888750076,0.0,0.0,1.0,6165.391810178757,3.5381569862365723,34.40345468534841,3.539973258972168,100000.0,34.46599752233526
1333.0926959514618,0.1624116897583007,7735.789251565933,16650,0,7735.789251565933,0.0,0.0,1.0,9069.148087263107,3.477848768234253,32.389968745317454,3.4801025390625,100000.0,32.46305063598527
1665.7765786647797,0.2066507339477539,10308.082640886309,22221,0,10308.082640886309,0.0,0.0,1.0,11974.20310473442,3.446923017501831,31.40361512014199,3.4490537643432617,100000.0,31.470599612023065
1997.9662308692928,0.2504634857177734,12880.245292663574,27793,0,12880.245292663574,0.0,0.0,1.0,14878.6331782341,3.396044969558716,29.845825164119663,3.39807677268982,100000.0,29.906527652008183
2330.1307821273804,0.2953975200653076,15452.230521440506,33361,0,15452.230521440506,0.0,0.0,1.0,17782.863030910492,3.346277952194214,28.39684229512887,3.347721576690674,100000.0,28.43786627677597
2662.31709432602,0.3392512798309326,18024.20441436768,38931,0,18024.20441436768,0.0,0.0,1.0,20687.10236978531,3.296714782714844,27.02371415918909,3.2972140312194824,100000.0,27.037209076451184
2994.545850753784,0.3826282024383545,20596.937858343124,44500,0,20596.937858343124,0.0,0.0,1.0,23592.14356446266,3.2424118518829346,25.595379627174168,3.2420148849487305,100000.0,25.585221124222063
3326.890326023102,0.4261243343353271,23169.153732538223,50071,0,23169.153732538223,0.0,0.0,1.0,26496.782693624496,3.185626268386841,24.18242835491024,3.185342311859131,100000.0,24.175562571361148
3659.296252727509,0.4696030616760254,25741.534422159195,55642,0,25741.534422159195,0.0,0.0,1.0,29401.64851665497,3.1233365535736084,22.722066698845094,3.1215972900390625,100000.0,22.682581384443733
3991.592081785202,0.5142147541046143,28313.505344867703,61209,0,28313.505344867703,0.0,0.0,1.0,32305.995275259014,3.0614583492279053,21.35868287911352,3.058828592300415,100000.0,21.30258852443628
,,,61209,0,28313.505344867706,,,,,,,,,
