accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,test/ppl,total_duration,train/loss,train/ppl,validation/loss,validation/num_examples,validation/ppl
347.7568938732147,0.0,21.47393274307251,1,0,21.47393274307251,0.0,0.0,1.0,369.2309339046478,11.013995170593262,60717.98161110941,11.01396656036377,100000.0,60716.24448057119
692.1363089084625,0.1662302017211914,2593.709819793701,5356,0,2593.709819793701,0.0,0.0,1.0,3286.055821657181,4.161510467529297,64.16837368116923,4.16774845123291,100000.0,64.56990602453749
1036.2884774208069,0.197615385055542,5165.7388479709625,10768,0,5165.7388479709625,0.0,0.0,1.0,6202.314628362656,3.669437885284424,39.22984798651454,3.6734986305236816,100000.0,39.38947428648297
1380.6255779266355,0.2293324470520019,7737.840007305145,16186,0,7737.840007305145,0.0,0.0,1.0,9118.830426454544,3.545292615890503,34.64982294777391,3.5481948852539062,100000.0,34.75053213927228
1724.940594911575,0.2612452507019043,10309.711139440536,21600,0,10309.711139440536,0.0,0.0,1.0,12035.095314502716,3.470357656478882,32.14823841458018,3.472474813461304,100000.0,32.216373382773575
2069.4490411281586,0.2939324378967285,12882.150203943253,27019,0,12882.150203943253,0.0,0.0,1.0,14952.118414402008,3.4148850440979004,30.413453020674783,3.416536569595337,100000.0,30.46372311354746
2413.6977112293243,0.3240478038787842,15454.579958200457,32437,0,15454.579958200457,0.0,0.0,1.0,17868.868484973907,3.3652286529541016,28.94011378509079,3.3677990436553955,100000.0,29.01459686876264
2757.941545724869,0.3550148010253906,18026.70218253136,37861,0,18026.70218253136,0.0,0.0,1.0,20785.307445526123,3.315881490707397,27.546665415059767,3.317561626434326,100000.0,27.592986453700856
3101.831812620163,0.3850553035736084,20598.12127017975,43275,0,20598.12127017975,0.0,0.0,1.0,23700.68913531304,3.26444673538208,26.1656304678684,3.2647194862365723,100000.0,26.172768139295574
3446.3882179260254,0.4161934852600097,23170.14706325531,48700,0,23170.14706325531,0.0,0.0,1.0,26617.344252586365,3.2068347930908203,24.70077928387808,3.206979513168335,100000.0,24.70435424124853
3790.608216524124,0.4465036392211914,25742.234058380127,54127,0,25742.234058380127,0.0,0.0,1.0,29533.72151303292,3.1464946269989014,23.25440617540956,3.145228385925293,100000.0,23.22497912596908
4134.546858787537,0.4776458740234375,28313.97388148308,59550,0,28313.97388148308,0.0,0.0,1.0,32449.47351717949,3.0859172344207764,21.88753363692859,3.083611249923706,100000.0,21.83711947316281
,,,59550,0,28313.973881483078,,,,,,,,,
