accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,total_duration,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples
250.6691026687622,0.0,21.488929271698,1,0,21.488929271698,0.4759940803050995,0.7661886811256409,0.027239006084382,43793.0,272.15809535980225,0.4788796007633209,0.764355480670929,0.021730763274043,0.4774273335933685,0.7653036117553711,0.0265867163025131,43793.0
366.0902395248413,0.2901830673217773,473.3029658794403,2158,0,473.3029658794403,0.9831857681274414,0.0650210529565811,0.0523208116198659,43793.0,839.6987216472626,0.9867631196975708,0.0520363040268421,0.0477936083043958,0.9841551184654236,0.0619670711457729,0.0487554422640663,43793.0
479.4003641605377,0.3422510623931885,925.3234651088716,4415,0,925.3234651088716,0.9840764999389648,0.0557453706860542,0.1393620229875101,43793.0,1405.0962603092194,0.9877558946609496,0.0434709303081035,0.1423220862420476,0.985061526298523,0.0527553930878639,0.1358166492731899,43793.0
592.4551572799683,0.3926548957824707,1377.2597522735596,6743,0,1377.2597522735596,0.9846930503845216,0.051466204226017,0.1855947819618994,43793.0,1970.152931690216,0.9886931777000428,0.0388488210737705,0.2204462510908978,0.985609531402588,0.0488485023379325,0.1858570473377958,43793.0
703.619119644165,0.4408369064331054,1829.2008855342865,9076,0,1829.2008855342865,0.9852253794670104,0.0497902184724807,0.2160532288933702,43793.0,2533.3216869831085,0.9891982674598694,0.0368135571479797,0.2540745010452273,0.9860617518424988,0.0470971539616584,0.215118574305882,43793.0
814.5961968898773,0.4933316707611084,2281.3215725421906,11421,0,2281.3215725421906,0.9855273365974426,0.0486400388181209,0.2320450010804136,43793.0,3096.4876408576965,0.9894843101501464,0.0352928638458251,0.3026204573593922,0.9863568544387816,0.0459479168057441,0.2284292614400625,43793.0
924.988214969635,0.5435657501220703,2733.3766193389893,13800,0,2733.3766193389893,0.9855854511260986,0.0480431206524372,0.2450019810117344,43793.0,3659.000050783157,0.9894938468933104,0.0353415757417678,0.3115393820156915,0.9863779544830322,0.0456538572907447,0.2356830418549742,43793.0
1036.1825852394104,0.5934662818908691,3185.389578104019,16163,0,3185.389578104019,0.985676407814026,0.0477325916290283,0.2441407895012882,43793.0,4222.272698640823,0.9900107979774476,0.0334096625447273,0.3284797567738426,0.9864879846572876,0.045166615396738,0.247518060687639,43793.0
1145.0039911270142,0.6443057060241699,3637.370987892151,18525,0,3637.370987892151,0.9858297109603882,0.04713686555624,0.2546515649979518,43793.0,4783.14189863205,0.990210235118866,0.0325311347842216,0.3636313937447279,0.9866722226142884,0.0446194782853126,0.253024000919507,43793.0
1253.0486845970154,0.7011318206787109,4089.360324859619,20878,0,4089.360324859619,0.9859012961387634,0.0472123473882675,0.2536431224639096,43793.0,5343.248229980469,0.9902470707893372,0.032492496073246,0.3697981280803399,0.9867071509361268,0.0444801524281501,0.2592490167649179,43793.0
1360.0175924301147,0.751305103302002,4541.475788116455,23245,0,4541.475788116455,0.985992670059204,0.0468685962259769,0.2576687684169733,43793.0,5902.398413419724,0.9903205037117004,0.0319819152355194,0.3752353820889642,0.9867903590202332,0.0442235544323921,0.264020699641391,43793.0
1466.9373393058777,0.8023378849029541,4993.440745353699,25615,0,4993.440745353699,0.9860209226608276,0.0467140451073646,0.2626365855409056,43793.0,6461.349902868271,0.9905992150306702,0.0309916473925113,0.4003454194941784,0.9868930578231812,0.0439293310046196,0.2693055483167356,43793.0
1573.3265647888184,0.8528110980987549,5445.452933311462,27979,0,5445.452933311462,0.9860870242118835,0.0467101335525512,0.2636657024119542,43793.0,7019.817586183548,0.990796446800232,0.0304033085703849,0.4187176022651279,0.9870083332061768,0.0438782572746276,0.2714578055650331,43793.0
1673.1896750926971,0.9075839519500732,5897.464252471924,30357,0,5897.464252471924,0.986203670501709,0.046226717531681,0.2707303389228118,43793.0,7571.762612342834,0.9909669160842896,0.0297811869531869,0.4238875729056758,0.986989676952362,0.0435266271233558,0.2756351450203682,43793.0
1770.3229925632477,0.9579370021820068,6349.506216049194,32738,0,6349.506216049194,0.9862276911735536,0.0460984520614147,0.273842104272848,43793.0,8121.00427365303,0.9911004304885864,0.0292488429695367,0.4420837923711523,0.9870497584342957,0.0432484075427055,0.2846638875587433,43793.0
,,,32738,0,6349.506216049194,,,,,,,,,,,,
