global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
7800,0.025641553,0.042117875,,,,,,,,,,,,,,,,,
7900,0.04086494,0.03840511,,,,,,,,,,,,,,,,,
8000,0.022919845,0.034749128,,,,,,,,,,,,,,,,,
8100,0.020592175,0.035461094,,,,,,,,,,,,,,,,,
8200,0.022118816,0.03846127,,,,,,,,,,,,,,,,,
8300,0.020529022,0.035345953,,,,,,,,,,,,,,,,,
8400,0.01971026,0.036014598,,,,,,,,,,,,,,,,,
8500,0.026660662,0.033228017,,,,,,,,,,,,,,,,,
8600,0.023911385,0.03671633,,,,,,,,,,,,,,,,,
8700,0.022659298,0.037664976,,,,,,,,,,,,,,,,,
8800,0.020766819,0.037198804,,,,,,,,,,,,,,,,,
8897,,,0.9900618195533752,0.0338282026350498,0.3111011534743407,0.9864948391914368,0.0453106313943862,0.2354374284223521,43793.0,0.9855761528015136,0.0480048395693302,0.2373226253271284,43793.0,1830.5635395050049,2552.163739681244,1830.5635395050049,721.3409218788147,0.1935956478118896,0.0
8900,0.02779581,0.032077916,,,,,,,,,,,,,,,,,
9000,0.026223738,0.036452107,,,,,,,,,,,,,,,,,
9100,0.023237618,0.035990007,,,,,,,,,,,,,,,,,
9200,0.023671031,0.035249893,,,,,,,,,,,,,,,,,
9300,0.024766449,0.03175816,,,,,,,,,,,,,,,,,
9400,0.029271686,0.03083839,,,,,,,,,,,,,,,,,
9500,0.026479129,0.029917702,,,,,,,,,,,,,,,,,
9600,0.020168448,0.033547435,,,,,,,,,,,,,,,,,
9700,0.02541398,0.034759033,,,,,,,,,,,,,,,,,
9800,0.028740304,0.035415456,,,,,,,,,,,,,,,,,
9900,0.030038757,0.0307319,,,,,,,,,,,,,,,,,
10000,0.03012609,0.032991163,,,,,,,,,,,,,,,,,
10100,0.030798383,0.032915115,,,,,,,,,,,,,,,,,
10200,0.029765958,0.033764936,,,,,,,,,,,,,,,,,
10300,0.025763847,0.031218449,,,,,,,,,,,,,,,,,
10400,0.027378207,0.03232561,,,,,,,,,,,,,,,,,
10500,0.044715483,0.03536262,,,,,,,,,,,,,,,,,
10600,0.036402553,0.03632883,,,,,,,,,,,,,,,,,
10700,0.04076154,0.031620055,,,,,,,,,,,,,,,,,
10800,0.030483043,0.0338312,,,,,,,,,,,,,,,,,
10900,0.029675988,0.030605936,,,,,,,,,,,,,,,,,
11000,0.0347448,0.035550993,,,,,,,,,,,,,,,,,
11100,0.027051354,0.030408539,,,,,,,,,,,,,,,,,
11184,,,0.9906485080718994,0.0315853059291839,0.3782119631488576,0.9867717027664183,0.0445275753736496,0.2540438956708024,43793.0,0.9858975410461426,0.047192707657814,0.25275631713434,43793.0,2282.6777951717377,3118.906235933304,2282.6777951717377,835.9023387432098,0.2434358596801757,0.0
11200,0.035724867,0.032381453,,,,,,,,,,,,,,,,,
11300,0.035010166,0.029932749,,,,,,,,,,,,,,,,,
11400,0.04685601,0.03349154,,,,,,,,,,,,,,,,,
11500,0.034835868,0.029373938,,,,,,,,,,,,,,,,,
11600,0.029326592,0.028572267,,,,,,,,,,,,,,,,,
11700,0.03017127,0.03174528,,,,,,,,,,,,,,,,,
11800,0.04278875,0.03186275,,,,,,,,,,,,,,,,,
11900,0.04573753,0.028221222,,,,,,,,,,,,,,,,,
12000,0.038683653,0.035816636,,,,,,,,,,,,,,,,,
12100,0.035890598,0.028108729,,,,,,,,,,,,,,,,,
12200,0.035752665,0.028447678,,,,,,,,,,,,,,,,,
12300,0.04140014,0.03300664,,,,,,,,,,,,,,,,,
12400,0.051301114,0.031331193,,,,,,,,,,,,,,,,,
12500,0.044526108,0.029926045,,,,,,,,,,,,,,,,,
12600,0.046916272,0.033007093,,,,,,,,,,,,,,,,,
12700,0.0576045,0.032485023,,,,,,,,,,,,,,,,,
12800,0.061089914,0.03445464,,,,,,,,,,,,,,,,,
12900,0.03968771,0.028792124,,,,,,,,,,,,,,,,,
13000,0.045881562,0.034347728,,,,,,,,,,,,,,,,,
13100,0.051260885,0.030787379,,,,,,,,,,,,,,,,,
13200,0.049064398,0.032505903,,,,,,,,,,,,,,,,,
13300,0.0487104,0.029121712,,,,,,,,,,,,,,,,,
13400,0.06529354,0.034297604,,,,,,,,,,,,,,,,,
13493,,,0.9910558462142944,0.029841236770153,0.4056722536243674,0.9868236780166626,0.0442743301391601,0.2655407087327204,43793.0,0.9859594106674194,0.0468961931765079,0.2611889530082796,43793.0,2734.744701385498,3680.538863182068,2734.744701385498,945.3927490711212,0.3013308048248291,0.0
13500,0.057679076,0.030853966,,,,,,,,,,,,,,,,,
13600,0.060542285,0.03245295,,,,,,,,,,,,,,,,,
13700,0.08056826,0.03291037,,,,,,,,,,,,,,,,,
13800,0.05612025,0.030894889,,,,,,,,,,,,,,,,,
13900,0.08330019,0.029243825,,,,,,,,,,,,,,,,,
14000,0.076402575,0.035606023,,,,,,,,,,,,,,,,,
14100,0.061816614,0.032336816,,,,,,,,,,,,,,,,,
14200,0.05721478,0.0303832,,,,,,,,,,,,,,,,,
14300,0.08259123,0.03172049,,,,,,,,,,,,,,,,,
14400,0.07315769,0.031799823,,,,,,,,,,,,,,,,,
14500,0.06604266,0.028965432,,,,,,,,,,,,,,,,,
14600,0.07899778,0.029898236,,,,,,,,,,,,,,,,,
14700,0.07673587,0.031139921,,,,,,,,,,,,,,,,,
