global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
7800,0.024032442,0.03774411,,,,,,,,,,,,,,,,,
7900,0.028325772,0.04175797,,,,,,,,,,,,,,,,,
8000,0.020447245,0.03670756,,,,,,,,,,,,,,,,,
8100,0.027540471,0.038546346,,,,,,,,,,,,,,,,,
8200,0.024076646,0.03645705,,,,,,,,,,,,,,,,,
8300,0.027601168,0.03359784,,,,,,,,,,,,,,,,,
8400,0.030582001,0.03516617,,,,,,,,,,,,,,,,,
8500,0.02207866,0.035707023,,,,,,,,,,,,,,,,,
8600,0.025748188,0.03477135,,,,,,,,,,,,,,,,,
8700,0.019721812,0.03028935,,,,,,,,,,,,,,,,,
8800,0.026098289,0.034410153,,,,,,,,,,,,,,,,,
8899,,,0.9900636672973632,0.0336275584995746,0.3230238846526402,0.9865350723266602,0.0452923327684402,0.2400145117282928,43793.0,0.9856166243553162,0.0479153208434581,0.2363327515144635,43793.0,1830.8140347003937,2531.640055179596,1830.8140347003937,700.5445895195007,0.2222743034362793,0.0
8900,0.03049877,0.035147253,,,,,,,,,,,,,,,,,
9000,0.023119101,0.033584345,,,,,,,,,,,,,,,,,
9100,0.03200343,0.03615457,,,,,,,,,,,,,,,,,
9200,0.027914628,0.038809992,,,,,,,,,,,,,,,,,
9300,0.028307308,0.031390004,,,,,,,,,,,,,,,,,
9400,0.027590163,0.032066334,,,,,,,,,,,,,,,,,
9500,0.025272254,0.034226026,,,,,,,,,,,,,,,,,
9600,0.027141169,0.03161638,,,,,,,,,,,,,,,,,
9700,0.040388923,0.03721973,,,,,,,,,,,,,,,,,
9800,0.04276642,0.03977449,,,,,,,,,,,,,,,,,
9900,0.03780306,0.039507303,,,,,,,,,,,,,,,,,
10000,0.02785862,0.035106692,,,,,,,,,,,,,,,,,
10100,0.02760662,0.03142298,,,,,,,,,,,,,,,,,
10200,0.04579162,0.036683857,,,,,,,,,,,,,,,,,
10300,0.025249489,0.031493478,,,,,,,,,,,,,,,,,
10400,0.031887162,0.03663885,,,,,,,,,,,,,,,,,
10500,0.02850575,0.032476287,,,,,,,,,,,,,,,,,
10600,0.03329211,0.03439206,,,,,,,,,,,,,,,,,
10700,0.029596157,0.03128241,,,,,,,,,,,,,,,,,
10800,0.03393272,0.035233933,,,,,,,,,,,,,,,,,
10900,0.030759213,0.032325357,,,,,,,,,,,,,,,,,
11000,0.041282453,0.03357958,,,,,,,,,,,,,,,,,
11100,0.043034565,0.03043184,,,,,,,,,,,,,,,,,
11200,0.030941274,0.031038456,,,,,,,,,,,,,,,,,
11254,,,0.9907823801040648,0.0309973210096359,0.3916145263856665,0.9867485761642456,0.0444775857031345,0.2568057217452911,43793.0,0.9858768582344056,0.0472285933792591,0.2541586859992176,43793.0,2282.922813653946,3094.7317094802856,2282.922813653946,811.4770681858063,0.2571065425872803,0.0
11300,0.035808977,0.032121446,,,,,,,,,,,,,,,,,
11400,0.03939478,0.033099893,,,,,,,,,,,,,,,,,
11500,0.04147929,0.034414843,,,,,,,,,,,,,,,,,
11600,0.03988529,0.03145169,,,,,,,,,,,,,,,,,
11700,0.04961217,0.03360762,,,,,,,,,,,,,,,,,
11800,0.0559891,0.03256693,,,,,,,,,,,,,,,,,
11900,0.04418813,0.031035969,,,,,,,,,,,,,,,,,
12000,0.044556066,0.030839873,,,,,,,,,,,,,,,,,
12100,0.06482126,0.030258838,,,,,,,,,,,,,,,,,
12200,0.038766157,0.029685419,,,,,,,,,,,,,,,,,
12300,0.06387859,0.035562936,,,,,,,,,,,,,,,,,
12400,0.043953884,0.028837215,,,,,,,,,,,,,,,,,
12500,0.050396018,0.02945309,,,,,,,,,,,,,,,,,
12600,0.043010324,0.03241071,,,,,,,,,,,,,,,,,
12700,0.060995966,0.033569124,,,,,,,,,,,,,,,,,
12800,0.06815881,0.029678376,,,,,,,,,,,,,,,,,
12900,0.044594042,0.028152293,,,,,,,,,,,,,,,,,
13000,0.054418676,0.033499446,,,,,,,,,,,,,,,,,
13100,0.05286488,0.029126165,,,,,,,,,,,,,,,,,
13200,0.079170674,0.029369513,,,,,,,,,,,,,,,,,
13300,0.07948708,0.029659983,,,,,,,,,,,,,,,,,
13400,0.05949507,0.03031006,,,,,,,,,,,,,,,,,
13500,0.07455968,0.030613966,,,,,,,,,,,,,,,,,
13600,0.062205546,0.035128903,,,,,,,,,,,,,,,,,
13620,,,0.9913089275360109,0.0289559345692396,0.4262201276034574,0.9867958426475524,0.0443313531577587,0.2662838975013338,43793.0,0.9860078692436218,0.0471180640161037,0.2648858053735318,43793.0,2734.904228210449,3656.7615666389465,2734.904228210449,921.4724550247192,0.2947101593017578,0.0
13700,0.074266426,0.032744925,,,,,,,,,,,,,,,,,
13800,0.07972899,0.030830886,,,,,,,,,,,,,,,,,
13900,0.06435246,0.029358288,,,,,,,,,,,,,,,,,
14000,0.06682581,0.029443955,,,,,,,,,,,,,,,,,
14100,0.059098758,0.029349491,,,,,,,,,,,,,,,,,
14200,0.07305607,0.02970483,,,,,,,,,,,,,,,,,
14300,0.068500794,0.03042196,,,,,,,,,,,,,,,,,
14400,0.090649664,0.032065343,,,,,,,,,,,,,,,,,
14500,0.063274644,0.027664296,,,,,,,,,,,,,,,,,
14600,0.10134305,0.032247584,,,,,,,,,,,,,,,,,
14700,0.110400856,0.030768333,,,,,,,,,,,,,,,,,
14800,0.09153249,0.031543393,,,,,,,,,,,,,,,,,
14900,0.07867021,0.028523482,,,,,,,,,,,,,,,,,
15000,0.081557,0.03066053,,,,,,,,,,,,,,,,,
15100,0.11386076,0.032930456,,,,,,,,,,,,,,,,,
15200,0.104712,0.031057555,,,,,,,,,,,,,,,,,
15300,0.14770247,0.034567446,,,,,,,,,,,,,,,,,
15400,0.08198134,0.028934922,,,,,,,,,,,,,,,,,
15500,0.09127012,0.026436852,,,,,,,,,,,,,,,,,
15600,0.10175717,0.03309423,,,,,,,,,,,,,,,,,
15700,0.09867816,0.029058002,,,,,,,,,,,,,,,,,
15800,0.13597667,0.026982175,,,,,,,,,,,,,,,,,
15900,0.12857153,0.028855886,,,,,,,,,,,,,,,,,
15966,,,0.9916391968727112,0.0277110897004604,0.4529920694781699,0.9867869019508362,0.044598963111639,0.271788378720255,43793.0,0.9860242605209352,0.0473570115864276,0.2676481003813563,43793.0,3186.941942691803,4219.332550764084,3186.941942691803,1031.9536938667295,0.3313953876495361,0.0
16000,0.101585284,0.02841354,,,,,,,,,,,,,,,,,
16100,0.11634136,0.028884193,,,,,,,,,,,,,,,,,
16200,0.11964842,0.031627942,,,,,,,,,,,,,,,,,
16300,0.12462803,0.029175868,,,,,,,,,,,,,,,,,
16400,0.11239786,0.02969661,,,,,,,,,,,,,,,,,
16500,0.1326013,0.03304379,,,,,,,,,,,,,,,,,
16600,0.1593156,0.02742528,,,,,,,,,,,,,,,,,
16700,0.1314653,0.027524771,,,,,,,,,,,,,,,,,
16800,0.13393101,0.029328527,,,,,,,,,,,,,,,,,
16900,0.12329705,0.024998195,,,,,,,,,,,,,,,,,
17000,0.1646391,0.029848121,,,,,,,,,,,,,,,,,
17100,0.15361705,0.029052028,,,,,,,,,,,,,,,,,
17200,0.16877665,0.03011939,,,,,,,,,,,,,,,,,
17300,0.16557269,0.028235635,,,,,,,,,,,,,,,,,
17400,0.1438586,0.029114855,,,,,,,,,,,,,,,,,
17500,0.21104547,0.030132247,,,,,,,,,,,,,,,,,
17600,0.18256336,0.025905937,,,,,,,,,,,,,,,,,
17700,0.22133537,0.028718116,,,,,,,,,,,,,,,,,
17800,0.17010105,0.055850666,,,,,,,,,,,,,,,,,
17900,0.14025782,0.027069777,,,,,,,,,,,,,,,,,
18000,0.16400014,0.025998821,,,,,,,,,,,,,,,,,
18100,0.19046462,0.030504607,,,,,,,,,,,,,,,,,
18200,0.14718117,0.023615766,,,,,,,,,,,,,,,,,
18300,0.24627942,0.030910699,,,,,,,,,,,,,,,,,
18302,,,0.9920386075973512,0.0263972301036119,0.4839757038714952,0.9868062138557434,0.0449214689433574,0.2727671954776873,43793.0,0.9859886765480042,0.0474991090595722,0.2682015289395685,43793.0,3638.9604036808014,4779.720565319061,3638.9604036808014,1140.272388935089,0.3667449951171875,0.0
