accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,total_duration,train/loss,validation/loss,validation/num_examples
1025.853299617767,0.0,40.79245662689209,1,0,40.79245662689209,0.4369181103579873,95000000.0,1067.0717520713806,0.4357136557299732,0.435259737638086,83274637.0
2009.2785205841064,0.2481698989868164,397.5658297538757,252,0,397.5658297538757,0.1334104127847772,95000000.0,2408.417116880417,0.1290837324528745,0.1305240489375408,83274637.0
2968.8280296325684,0.2969481945037842,754.0414435863495,485,0,754.0414435863495,0.1309586177841989,95000000.0,3725.376441717148,0.1276503191271823,0.1281644144872456,83274637.0
3978.794567346573,0.3439145088195801,1109.696254491806,693,0,1109.696254491806,0.1306267240663227,95000000.0,5091.919384002686,0.1270531429490505,0.1277590852692551,83274637.0
4991.97415304184,0.3936023712158203,1465.8979723453522,953,0,1465.8979723453522,0.1307835366644608,95000000.0,6462.24874663353,0.1268240100330908,0.1273050120432644,83274637.0
5891.450503349304,0.4403779506683349,1821.4262742996216,1162,0,1821.4262742996216,0.1295412179632889,95000000.0,7718.177315473556,0.1247486589572108,0.1268203652487227,83274637.0
6872.500154256821,0.486255407333374,2178.502447128296,1385,0,2178.502447128296,0.1290252376614219,95000000.0,9057.23430609703,0.1259412851254964,0.1266698425563849,83274637.0
7770.279141187668,0.5341074466705322,2534.206356048584,1649,0,2534.206356048584,0.1290041194331118,95000000.0,10311.674998998642,0.1253908496592271,0.1265107948137223,83274637.0
8753.316678524017,0.5805337429046631,2890.247403860092,1863,0,2890.247403860092,0.1285776963828639,95000000.0,11651.67793083191,0.122801753730256,0.126133872734231,83274637.0
9639.7564702034,0.6284537315368652,3247.091553211212,2122,0,3247.091553211212,0.1301630632436652,95000000.0,12895.894324302672,0.1246676772184993,0.1264831435136328,83274637.0
10465.751001119614,0.6757113933563232,3603.597972869873,2349,0,3603.597972869873,0.1298463392395019,95000000.0,14079.273049592972,0.1264303674941181,0.1263232350474659,83274637.0
11263.600727558136,0.7230703830718994,3959.376705408096,2578,0,3959.376705408096,0.1284798603318064,95000000.0,15233.763725280762,0.1222251407278453,0.126007349343284,83274637.0
11843.213032245636,0.7700369358062744,4316.314001083374,2842,0,4316.314001083374,0.1281392388586747,95000000.0,16171.189774990082,0.1212804338424084,0.1257027385061594,83274637.0
12266.263061523438,0.8156609535217285,4671.952888727188,3081,0,4671.952888727188,0.1278728425900108,95000000.0,16950.74808239937,0.1248808851954421,0.1255701821800262,83274637.0
12465.70539855957,0.8637945652008057,5027.62944984436,3295,0,5027.62944984436,0.1280562918089214,95000000.0,17506.740906476974,0.1250675099951508,0.1255284627604009,83274637.0
12661.187792301178,0.9111344814300536,5383.118564844132,3552,0,5383.118564844132,0.1280528720015676,95000000.0,18058.614637613297,0.1249924958369322,0.1255187250452596,83274637.0
