accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,total_duration,train/loss,validation/loss,validation/num_examples
867.7315633296967,0.0,29.2066388130188,1,0,29.2066388130188,0.3029449925299393,95000000.0,897.3910760879517,0.3017159066464039,0.3016451732079814,83274637.0
1635.5689234733582,0.0523805618286132,384.6064600944519,364,0,384.6064600944519,0.1313210143472772,95000000.0,2021.6567165851595,0.129664217199036,0.1287022120320695,83274637.0
2365.785185575485,0.0847761631011962,740.7377648353577,738,0,740.7377648353577,0.1295713342428107,95000000.0,3109.0130937099457,0.1259611249745065,0.1271159624899356,83274637.0
3093.013653278351,0.1160335540771484,1096.8687024116516,1110,0,1096.8687024116516,0.1377093921921579,95000000.0,4193.386187076569,0.1271448371020925,0.1287552587218125,83274637.0
3823.2124257087694,0.1481256484985351,1452.6014482975006,1511,0,1452.6014482975006,0.1327145787761487,95000000.0,5280.348157167435,0.1250409192680292,0.127323579237512,83274637.0
4536.602342367172,0.1845006942749023,1808.3019037246704,1929,0,1808.3019037246704,0.1293878582182231,95000000.0,6350.485623598099,0.1265157590056442,0.126406320392125,83274637.0
5251.410184144974,0.2140345573425293,2164.414117574692,2341,0,2164.414117574692,0.1290402870531584,95000000.0,7422.42845249176,0.1250968027695758,0.1262078055474108,83274637.0
5961.039324998856,0.2437553405761718,2520.552431821823,2745,0,2520.552431821823,0.1287035574779309,95000000.0,8489.223935365677,0.1265126440533717,0.1260680645157897,83274637.0
6668.066873550415,0.275090217590332,2876.1231982707977,3147,0,2876.1231982707977,0.128521176684249,95000000.0,9552.826431035995,0.1259254097686422,0.1260251816147941,83274637.0
7344.220081806183,0.306528091430664,3232.054491996765,3559,0,3232.054491996765,0.1285485774804366,95000000.0,10585.85072016716,0.1257970467641855,0.1258387288817622,83274637.0
7982.799227237701,0.336461067199707,3588.1194217205048,3977,0,3588.1194217205048,0.1280095433046039,95000000.0,11581.41908288002,0.123391007173813,0.1255831006978408,83274637.0
8519.288949728012,0.3654036521911621,3944.4585444927216,4393,0,3944.4585444927216,0.1277433986437345,95000000.0,12475.18635582924,0.1227009133964384,0.1254754677814582,83274637.0
8931.322264671326,0.3964490890502929,4300.023206710815,4805,0,4300.023206710815,0.1278004428556743,95000000.0,13243.732544660568,0.1254168304851263,0.125396603908448,83274637.0
9199.043791770937,0.4276633262634277,4656.0418202877045,5221,0,4656.0418202877045,0.1276145124275609,95000000.0,13868.428036928177,0.1241895842292448,0.1253461323630898,83274637.0
9385.426348924637,0.4583592414855957,5012.352126598358,5627,0,5012.352126598358,0.1275319628509521,95000000.0,14412.077626943588,0.1231935333050882,0.1251914102927899,83274637.0
9571.194920778276,0.488710880279541,5368.571178197861,6039,0,5368.571178197861,0.1274751758711965,95000000.0,14955.025527715685,0.1222112687323304,0.125118343026397,83274637.0
9757.416962385178,0.5203800201416016,5724.4911596775055,6450,0,5724.4911596775055,0.1274672401246723,95000000.0,15498.131188869476,0.1253673969900824,0.1250719747949998,83274637.0
9942.836173057556,0.5524260997772217,6080.471741437912,6860,0,6080.471741437912,0.1273298715349699,95000000.0,16040.496233701706,0.1249929112317188,0.1250200431144972,83274637.0
10128.967109441755,0.5840284824371338,6435.928585767746,7273,0,6435.928585767746,0.1272765173824912,95000000.0,16583.041299819946,0.1226202895366111,0.1249674912299993,83274637.0
10314.276903867722,0.6149506568908691,6792.234140634537,7688,0,6792.234140634537,0.1271501113914088,95000000.0,17125.60713815689,0.1229293565165977,0.1247953552890326,83274637.0
10500.749957799911,0.6464202404022217,7148.427446842194,8098,0,7148.427446842194,0.1272925744617662,95000000.0,17669.223699569702,0.1251664256128095,0.1249255551516657,83274637.0
10686.69282579422,0.6781704425811768,7504.491157054901,8515,0,7504.491157054901,0.1269819278132388,95000000.0,18212.191146612167,0.1236340356831291,0.1247207542772369,83274637.0
10872.927513599396,0.7092695236206055,7860.538016557693,8930,0,7860.538016557693,0.1269233074581748,95000000.0,18755.428988218307,0.123166940060116,0.1246540090862723,83274637.0
11058.763084888458,0.7416090965270996,8216.463465213776,9341,0,8216.463465213776,0.1269448175382915,95000000.0,19298.143273591995,0.1236896456928145,0.1246450842585124,83274637.0
11244.587634801865,0.7811675071716309,8571.933514595032,9758,0,8571.933514595032,0.1269719572949861,95000000.0,19840.395205020905,0.1224866967146969,0.1246771882441942,83274637.0
11431.0768597126,0.813617467880249,8927.380878210068,10174,0,8927.380878210068,0.1269067784288908,95000000.0,20383.311123609543,0.1226393683921064,0.1246349179449764,83274637.0
11616.498909711838,0.8433797359466553,9283.670923233032,10581,0,9283.670923233032,0.1269354214185212,95000000.0,20925.9901342392,0.1222208365312455,0.1246444800967003,83274637.0
11819.866140842438,0.8753676414489746,9340.896360635756,10667,0,9340.896360635756,0.1269353314064427,95000000.0,21187.442012786865,0.1221413820230398,0.1246445381761831,83274637.0
,,,10667,0,9340.896360635757,,,,,,
