accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,total_duration,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples
252.4080445766449,0.0,21.011845111846924,1,0,21.011845111846924,0.4694536924362182,0.8008528351783752,0.0261368424832899,43793.0,273.419956445694,0.4647752642631531,0.8044615983963013,0.0210275727380385,0.4704202711582184,0.8007355332374573,0.0251479251828367,43793.0
366.20419454574585,0.431227445602417,472.7813169956207,2091,0,472.7813169956207,0.9831327199935912,0.0673366785049438,0.0356382016305144,43793.0,839.4320199489594,0.986707091331482,0.0543985813856124,0.0344738049076615,0.984114944934845,0.0640858709812164,0.0338156570553674,43793.0
480.06662607192993,0.4683587551116943,924.9300367832184,4272,0,924.9300367832184,0.9831651449203492,0.0664994269609451,0.0432971405767916,43793.0,1405.4965212345123,0.986770749092102,0.0531131513416767,0.0505368577369695,0.984155535697937,0.0633619800209999,0.0442408635936267,43793.0
592.8690621852875,0.5068113803863525,1377.0745089054108,6483,0,1377.0745089054108,0.9835824966430664,0.0601963102817535,0.0940352432381997,43793.0,1970.497760295868,0.9873241782188416,0.0470839366316795,0.1009465568920641,0.9845500588417052,0.0570271722972393,0.0899434520698394,43793.0
707.1075477600098,0.5455939769744873,1829.1801054477687,8704,0,1829.1801054477687,0.9840869903564452,0.054724495857954,0.1486480844893687,43793.0,2536.896675109864,0.9880400896072388,0.0425188429653644,0.1492839344963175,0.9850988984107972,0.0518752969801425,0.1473155944027999,43793.0
820.8141167163849,0.581780195236206,2281.274859905243,10915,0,2281.274859905243,0.9848973155021667,0.0513534098863601,0.1819386395737085,43793.0,3102.750411748886,0.988581657409668,0.0391520336270332,0.2174377180660265,0.9858161807060242,0.0484112612903118,0.1803073744454501,43793.0
935.252383708954,0.6195805072784424,2733.4163415431976,13116,0,2733.4163415431976,0.9852354526519777,0.0498982779681682,0.2144211670847326,43793.0,3669.384833097458,0.9892395734786988,0.036537230014801,0.2586960914353105,0.986153483390808,0.0470310561358928,0.2166279025986787,43793.0
1049.6902310848236,0.6557700634002686,3185.5750620365143,15322,0,3185.5750620365143,0.9855260848999025,0.0486859828233718,0.2287460864174234,43793.0,4236.034363985062,0.9898112416267396,0.0344760343432426,0.3071589169182515,0.9864550828933716,0.0457787662744522,0.2393808824229632,43793.0
1162.06054520607,0.693244218826294,3637.722634553909,17535,0,3637.722634553909,0.9856005907058716,0.0482717007398605,0.2366696636471584,43793.0,4800.606337070465,0.9901908040046692,0.0328507423400878,0.3418287768779059,0.9865415692329408,0.0452447310090065,0.2455873680745671,43793.0
1265.448929309845,0.7313535213470459,4089.832079410553,19816,0,4089.832079410553,0.985769510269165,0.0476392544806003,0.246659199000899,43793.0,5356.159650802612,0.990706741809845,0.0311072599142789,0.3812615706007567,0.9866515398025512,0.0446369647979736,0.2487684797658287,43793.0
