global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.3792133,11.028276,,,,,,,,,,,,,,,,,
1,,,0.0004916758043691,11.035237312316896,1.677895163434107e-11,0.0004835649742744,11.034505844116213,4.0454637378228917e-10,3000.0,0.0007088489946909,11.029074668884276,8.584740701932404e-11,3003.0,59.11289930343628,980.3400909900664,59.11289930343628,921.2270264625548,0.0,0.0
100,0.8782794,8.072578,,,,,,,,,,,,,,,,,
200,0.45615616,7.2595124,,,,,,,,,,,,,,,,,
300,0.489509,6.6638837,,,,,,,,,,,,,,,,,
400,0.39377522,6.0825047,,,,,,,,,,,,,,,,,
500,0.4547865,5.685072,,,,,,,,,,,,,,,,,
600,0.4283768,5.4401803,,,,,,,,,,,,,,,,,
700,0.38489226,5.1337533,,,,,,,,,,,,,,,,,
800,0.35726765,4.870214,,,,,,,,,,,,,,,,,
900,0.4098564,4.666094,,,,,,,,,,,,,,,,,
1000,0.49988148,4.5515013,,,,,,,,,,,,,,,,,
1100,0.49650773,4.188773,,,,,,,,,,,,,,,,,
1200,0.4574088,3.9814234,,,,,,,,,,,,,,,,,
1300,0.43516392,3.8754692,,,,,,,,,,,,,,,,,
1400,0.39704856,3.6656966,,,,,,,,,,,,,,,,,
1500,0.46591476,3.5900412,,,,,,,,,,,,,,,,,
1600,0.4833108,3.4950714,,,,,,,,,,,,,,,,,
1700,0.39055935,3.3125997,,,,,,,,,,,,,,,,,
1800,0.44490358,3.207812,,,,,,,,,,,,,,,,,
1900,0.34089172,3.0270855,,,,,,,,,,,,,,,,,
2000,0.4260167,3.075742,,,,,,,,,,,,,,,,,
2100,0.32408756,2.9134517,,,,,,,,,,,,,,,,,
2200,0.29797322,2.9094734,,,,,,,,,,,,,,,,,
2300,0.32410687,2.8625772,,,,,,,,,,,,,,,,,
2400,0.31206292,2.7816856,,,,,,,,,,,,,,,,,
2500,0.25957608,2.7865417,,,,,,,,,,,,,,,,,
2600,0.28640124,2.6666431,,,,,,,,,,,,,,,,,
2700,0.242437,2.710039,,,,,,,,,,,,,,,,,
2800,0.24719249,2.67171,,,,,,,,,,,,,,,,,
2900,0.22825842,2.5957434,,,,,,,,,,,,,,,,,
3000,0.23144095,2.5622587,,,,,,,,,,,,,,,,,
3100,0.2361765,2.4681866,,,,,,,,,,,,,,,,,
3200,0.1998002,2.4838166,,,,,,,,,,,,,,,,,
3300,0.21355698,2.4510963,,,,,,,,,,,,,,,,,
3400,0.19593245,2.4825199,,,,,,,,,,,,,,,,,
3500,0.1955947,2.3529644,,,,,,,,,,,,,,,,,
3600,0.2158851,2.3761384,,,,,,,,,,,,,,,,,
3700,0.18543209,2.3503249,,,,,,,,,,,,,,,,,
3800,0.20612675,2.2846708,,,,,,,,,,,,,,,,,
3900,0.2155859,2.357046,,,,,,,,,,,,,,,,,
4000,0.1911712,2.3763006,,,,,,,,,,,,,,,,,
4100,0.1642496,2.2208943,,,,,,,,,,,,,,,,,
4200,0.18648851,2.377117,,,,,,,,,,,,,,,,,
4300,0.1782296,2.2058315,,,,,,,,,,,,,,,,,
4400,0.16928981,2.200886,,,,,,,,,,,,,,,,,
4442,,,0.5871381759643555,2.214089155197144,27.624706942021536,0.5980458855628967,2.1241912841796875,24.028308519129645,3000.0,0.6002324223518372,2.099025249481201,22.335785358684607,3003.0,703.1445062160492,2128.6427681446075,703.1445062160492,1425.4174120426178,0.0448617935180664,0.0
4500,0.16163962,2.1850848,,,,,,,,,,,,,,,,,
4600,0.16972266,2.2646644,,,,,,,,,,,,,,,,,
4700,0.15929727,2.126972,,,,,,,,,,,,,,,,,
4800,0.18638243,2.2175982,,,,,,,,,,,,,,,,,
4900,0.16451515,2.0967996,,,,,,,,,,,,,,,,,
5000,0.15966997,2.1430006,,,,,,,,,,,,,,,,,
5100,0.16134961,2.163727,,,,,,,,,,,,,,,,,
5200,0.16512553,2.155757,,,,,,,,,,,,,,,,,
5300,0.17948762,2.1190758,,,,,,,,,,,,,,,,,
5400,0.15773028,2.1903117,,,,,,,,,,,,,,,,,
5500,0.15298358,2.1681285,,,,,,,,,,,,,,,,,
5600,0.17904954,2.1789715,,,,,,,,,,,,,,,,,
5700,0.15716586,2.2325177,,,,,,,,,,,,,,,,,
5800,0.15230013,2.0742078,,,,,,,,,,,,,,,,,
5900,0.23972568,2.1507895,,,,,,,,,,,,,,,,,
