accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/num_examples,total_duration,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples
77.40477871894836,0.0,58.44966769218445,1,0,58.44966769218445,0.001,6.9128184,10000.0,135.85453510284424,0.0011559312,6.9122853,0.00136,6.9124374,50000.0
106.90606665611269,0.4633722305297851,2054.207333803177,5520,0,2054.207333803177,0.36740002,3.0520194,10000.0,2161.628391504288,0.5182358,2.0658538,0.47243997,2.3103442,50000.0
147.81659722328186,0.5256507396697998,4050.455023288727,13363,0,4050.455023288727,0.4514,2.529776,10000.0,4198.959309339523,0.6151148,1.572104,0.57334,1.79406,50000.0
189.71586227416992,0.5977742671966553,6046.774590730667,21207,0,6046.774590730667,0.4821,2.3462386,10000.0,6237.319751262665,0.63791454,1.4546068,0.60072,1.6600412,50000.0
215.7550916671753,0.6471920013427734,8043.0256860256195,29050,0,8043.0256860256195,0.4663,2.4176404,10000.0,8259.729389429092,0.6585618,1.3707699,0.58349997,1.737676,50000.0
240.2322916984558,0.7324118614196777,10039.331890821457,36899,0,10039.331890821457,0.41750002,2.7452939,10000.0,10280.66727089882,0.58418363,1.7357142,0.52832,2.0252593,50000.0
285.40844345092773,0.8285510540008545,12035.598555326462,44742,0,12035.598555326462,0.39420003,2.958659,10000.0,12322.276809692385,0.5334024,2.0177486,0.49556,2.2369044,50000.0
309.6381096839905,0.8772797584533691,14031.73124551773,52588,0,14031.73124551773,0.41540003,2.757376,10000.0,14342.757969379423,0.5648318,1.831572,0.52706,2.0322506,50000.0
363.21610593795776,0.9475417137145996,16027.999759197235,60431,0,16027.999759197235,0.44520003,2.5233555,10000.0,16392.744629621506,0.61069036,1.6038662,0.57736,1.7889516,50000.0
404.89938712120056,0.99615478515625,18024.17820811272,68279,0,18024.17820811272,0.40980002,2.7920403,10000.0,18430.724675416943,0.59452724,1.7009375,0.53889996,2.0023594,50000.0
465.9093804359436,1.0482656955718994,20020.29528093338,76125,0,20020.29528093338,0.47020003,2.4641924,10000.0,20487.97396540641,0.63853234,1.4586047,0.58672,1.7408022,50000.0
515.0805456638336,1.098887920379639,22016.62611222267,83976,0,22016.62611222267,0.4947,2.338568,10000.0,22533.59595775604,0.65818316,1.377542,0.60811996,1.6341054,50000.0
559.987765789032,1.1628806591033936,24012.709423542023,91826,0,24012.709423542023,0.4744,2.3891535,10000.0,24574.72072124481,0.65290177,1.381444,0.60672,1.6291728,50000.0
583.5202963352203,1.244572401046753,26008.812431573868,99674,0,26008.812431573868,0.5169,2.1541405,10000.0,26594.5082116127,0.7300502,1.0246443,0.64757997,1.4443027,50000.0
628.7402496337891,1.3322737216949463,28004.884853601456,107524,0,28004.884853601456,0.50710005,2.2399433,10000.0,28635.959178686146,0.69349885,1.1983143,0.6264,1.5503186,50000.0
679.6944375038147,1.395061731338501,30001.139387130737,115361,0,30001.139387130737,0.5486,2.0303664,10000.0,30683.300388097763,0.73977596,0.9920938,0.6731,1.3257809,50000.0
713.4449858665466,1.457624435424805,31997.263649225235,123204,0,31997.263649225235,0.56600004,1.8907065,10000.0,32713.30907440185,0.76313376,0.889983,0.69593996,1.2219989,50000.0
769.6686623096466,1.5511555671691897,33993.25134849548,131040,0,33993.25134849548,0.4708,2.4883585,10000.0,34765.76627326012,0.69903934,1.158373,0.61219996,1.6276085,50000.0
809.9919967651367,1.6088640689849854,35989.38658595085,138847,0,35989.38658595085,0.52140003,2.212905,10000.0,36802.35290575028,0.7526507,0.9361047,0.65896,1.4043685,50000.0
842.8385591506958,1.6606097221374512,37985.550740242,146674,0,37985.550740242,0.5838,1.8507066,10000.0,38831.48491787911,0.8089923,0.69511527,0.70888,1.1763413,50000.0
887.9157521724701,1.7173123359680176,39981.79184317589,154356,0,39981.79184317589,0.60510004,1.7607837,10000.0,40872.93235349655,0.84741706,0.54609704,0.73486,1.0639762,50000.0
918.1632833480836,1.7734503746032717,41977.98895072937,162019,0,41977.98895072937,0.60940003,1.7577215,10000.0,42899.55558657646,0.8614477,0.48771504,0.73749995,1.0551554,50000.0
945.603485584259,1.8336915969848635,43974.86799764633,169035,0,43974.86799764633,0.6071,1.7885982,10000.0,44924.00128984451,0.8924187,0.3764659,0.7367,1.0788199,50000.0
997.2007586956024,2.7812466621398926,45970.1855199337,172494,0,45970.1855199337,0.6208,1.7269926,10000.0,46972.07515788078,0.8964445,0.36290434,0.74456,1.0413179,50000.0
1032.290610790253,6.162799119949341,47963.3192088604,175818,0,47963.3192088604,0.625,1.7185097,10000.0,49004.035959243774,0.9149394,0.30013025,0.75298,1.0112945,50000.0
1069.175927400589,8.608047008514404,49957.30178952217,178840,0,49957.30178952217,0.62630004,1.7094964,10000.0,51037.53654718399,0.91878587,0.28922284,0.75295997,1.0115485,50000.0
1105.717220067978,11.375649452209473,51950.857692718506,181437,0,51950.857692718506,0.62930006,1.7303762,10000.0,53070.70270037651,0.92446584,0.26733944,0.7529,1.0182607,50000.0
1140.038616657257,13.85176420211792,53945.63394832611,183739,0,53945.63394832611,0.63140005,1.711228,10000.0,55102.58040690422,0.9315609,0.2493857,0.75575995,1.000744,50000.0
1174.7400591373444,16.73674702644348,55939.2755715847,185581,0,55939.2755715847,0.63360006,1.7104368,10000.0,57134.19265580177,0.9418048,0.2146592,0.75681996,0.99811137,50000.0
1210.424972295761,19.35724210739136,57933.1054751873,187468,0,57933.1054751873,0.6341,1.7068952,10000.0,59166.628809928894,0.9407685,0.21916161,0.75883996,0.9892856,50000.0
