global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
9959,,,0.4549414,2.495188,0.4183,2.6728852,50000.0,0.3258,3.267324,10000.0,5210.149612903595,5372.970656633377,5210.149612903595,162.4572148323059,0.2361433506011963,0.0
10000,1.0362717,5.290765,,,,,,,,,,,,,,
10100,1.3656847,3.6434631,,,,,,,,,,,,,,
10200,1.1361179,3.6035676,,,,,,,,,,,,,,
10300,1.516703,3.397756,,,,,,,,,,,,,,
10400,1.0198597,5.3206263,,,,,,,,,,,,,,
10500,1.5346123,3.5100374,,,,,,,,,,,,,,
10600,1.1412368,5.0470123,,,,,,,,,,,,,,
10700,0.9365694,5.8563957,,,,,,,,,,,,,,
10800,1.2316542,3.6753886,,,,,,,,,,,,,,
10900,1.1401898,4.695167,,,,,,,,,,,,,,
11000,1.2976507,3.4823852,,,,,,,,,,,,,,
11100,1.457436,3.4439566,,,,,,,,,,,,,,
11200,1.0495397,4.854099,,,,,,,,,,,,,,
11300,1.4132525,3.5890987,,,,,,,,,,,,,,
11400,1.3469106,3.2871165,,,,,,,,,,,,,,
11500,1.2389379,3.3089328,,,,,,,,,,,,,,
11600,1.2880956,3.6155894,,,,,,,,,,,,,,
11700,1.2738537,3.2511926,,,,,,,,,,,,,,
11800,1.3207324,3.3619592,,,,,,,,,,,,,,
11900,0.9754572,4.9891696,,,,,,,,,,,,,,
12000,0.8939228,5.38356,,,,,,,,,,,,,,
12100,1.2492284,4.209906,,,,,,,,,,,,,,
12200,1.3525002,3.2442317,,,,,,,,,,,,,,
12300,1.0339985,4.1794586,,,,,,,,,,,,,,
12400,1.3131415,3.4792325,,,,,,,,,,,,,,
12500,1.5744113,3.2793665,,,,,,,,,,,,,,
12600,1.5512072,3.0959053,,,,,,,,,,,,,,
12700,1.2502699,4.93981,,,,,,,,,,,,,,
12800,2.337634,3.360876,,,,,,,,,,,,,,
12900,1.4873345,3.5988634,,,,,,,,,,,,,,
13000,1.1286829,4.1259766,,,,,,,,,,,,,,
13100,0.83027107,5.6979365,,,,,,,,,,,,,,
13200,1.630833,3.1177833,,,,,,,,,,,,,,
13300,1.8067844,3.166928,,,,,,,,,,,,,,
13400,1.5743786,3.0565724,,,,,,,,,,,,,,
13500,1.9360883,3.3146038,,,,,,,,,,,,,,
13600,1.5042331,3.1546571,,,,,,,,,,,,,,
13700,1.1139435,4.426221,,,,,,,,,,,,,,
13800,1.3875654,3.1306438,,,,,,,,,,,,,,
13900,1.1801908,3.8134124,,,,,,,,,,,,,,
14000,1.4471296,4.0019164,,,,,,,,,,,,,,
14095,,,0.5341992,2.0571556,0.49089998,2.2738729,50000.0,0.38480002,2.903024,10000.0,7781.033356428146,8190.36198592186,7781.033356428146,408.8286910057068,0.3142423629760742,0.0
14100,1.7017715,3.200812,,,,,,,,,,,,,,
14200,1.7833794,3.085565,,,,,,,,,,,,,,
14300,1.5802145,3.0390644,,,,,,,,,,,,,,
14400,1.4359739,3.754466,,,,,,,,,,,,,,
14500,1.1023248,5.6356854,,,,,,,,,,,,,,
14600,1.164856,4.3536243,,,,,,,,,,,,,,
14700,1.6095867,2.964932,,,,,,,,,,,,,,
14800,1.2708573,3.943025,,,,,,,,,,,,,,
14900,1.5698103,2.9733968,,,,,,,,,,,,,,
15000,1.4803901,2.9281769,,,,,,,,,,,,,,
15100,1.5510737,3.1986592,,,,,,,,,,,,,,
15200,1.0305227,4.253935,,,,,,,,,,,,,,
15300,1.0202941,5.607669,,,,,,,,,,,,,,
15400,1.3747001,3.4098976,,,,,,,,,,,,,,
15500,1.6966028,2.9952781,,,,,,,,,,,,,,
15600,1.568798,4.8227177,,,,,,,,,,,,,,
15700,1.3990583,4.108878,,,,,,,,,,,,,,
15800,1.8749909,3.0726123,,,,,,,,,,,,,,
15900,1.2915025,5.6211805,,,,,,,,,,,,,,
16000,1.5840079,2.9682698,,,,,,,,,,,,,,
16100,1.3823178,2.9812298,,,,,,,,,,,,,,
16200,1.5126636,3.0206554,,,,,,,,,,,,,,
16300,0.99746394,5.461134,,,,,,,,,,,,,,
16400,1.4826894,2.8828592,,,,,,,,,,,,,,
16500,1.5028217,3.0709014,,,,,,,,,,,,,,
16600,1.5402671,3.3614194,,,,,,,,,,,,,,
16700,1.0569463,5.1963325,,,,,,,,,,,,,,
16800,1.4226094,3.4188027,,,,,,,,,,,,,,
16900,1.8519834,3.0443478,,,,,,,,,,,,,,
17000,1.6309054,2.8254786,,,,,,,,,,,,,,
17100,1.4830346,4.377132,,,,,,,,,,,,,,
17200,1.2635298,4.2071824,,,,,,,,,,,,,,
17300,1.8276968,2.7395773,,,,,,,,,,,,,,
17400,1.1778107,4.923657,,,,,,,,,,,,,,
17500,1.8654873,3.2627716,,,,,,,,,,,,,,
17600,1.4285761,3.1928008,,,,,,,,,,,,,,
17700,1.7545358,3.06963,,,,,,,,,,,,,,
17800,1.4590434,2.8440814,,,,,,,,,,,,,,
17900,1.0953897,4.7347527,,,,,,,,,,,,,,
18000,1.5115266,3.0567358,,,,,,,,,,,,,,
18100,1.0600842,5.4449377,,,,,,,,,,,,,,
