global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,3.92228,0.3799593,,,,,,,,,,,
1,,,0.3843012491487107,0.3829204931671978,83274637.0,0.3851782345805921,95000000.0,9.263241529464722,918.6484093666076,9.263241529464722,909.38507771492,0.0,0.0
100,0.18863301,0.14032358,,,,,,,,,,,
200,0.055396747,0.12737027,,,,,,,,,,,
300,0.02952686,0.12905738,,,,,,,,,,,
384,,,0.1246673474615474,0.1270374779281629,83274637.0,0.1294394826583059,95000000.0,365.3596320152282,2145.3913972377777,365.3596320152282,1780.0008041858673,0.0279419422149658,0.0
400,0.018660177,0.12691623,,,,,,,,,,,
500,0.029629136,0.13013965,,,,,,,,,,,
600,0.0296173,0.121636994,,,,,,,,,,,
700,0.0056481357,0.12269507,,,,,,,,,,,
768,,,0.1244337127409266,0.12619052448275,83274637.0,0.1285548839226973,95000000.0,721.9275319576263,3368.874693632126,721.9275319576263,2646.8821580410004,0.0590729713439941,0.0
800,0.077311546,0.13112015,,,,,,,,,,,
900,0.044596765,0.12680574,,,,,,,,,,,
1000,0.012625408,0.11997052,,,,,,,,,,,
1100,0.04999296,0.12224095,,,,,,,,,,,
1131,,,0.1249653168912953,0.1253546515665838,83274637.0,0.1277332931743421,95000000.0,1078.752667427063,4572.004189491272,1078.752667427063,3493.1548380851746,0.0877056121826171,0.0
1200,0.025056308,0.11872054,,,,,,,,,,,
1300,0.0060091447,0.12218531,,,,,,,,,,,
1400,0.031261344,0.11958582,,,,,,,,,,,
1500,0.041645065,0.13491243,,,,,,,,,,,
1509,,,0.1249818680515079,0.1250576357093389,83274637.0,0.1273519978926809,95000000.0,1435.1496796607971,5761.815901756287,1435.1496796607971,4326.539284467697,0.1151115894317627,0.0
1600,0.0046866755,0.13528708,,,,,,,,,,,
1700,0.013630833,0.12148465,,,,,,,,,,,
1800,0.008047765,0.11947504,,,,,,,,,,,
1900,0.006360856,0.12198611,,,,,,,,,,,
1908,,,0.1231150770407615,0.1248365359529614,83274637.0,0.1271195669613486,95000000.0,1791.2889392375946,6927.141570568085,1791.2889392375946,5135.694305419922,0.1434440612792968,0.0
2000,0.023031658,0.13350862,,,,,,,,,,,
2100,0.024131564,0.1190322,,,,,,,,,,,
2200,0.03217036,0.12624013,,,,,,,,,,,
2300,0.014276661,0.1225527,,,,,,,,,,,
2312,,,0.1258565234078926,0.1246757687781372,83274637.0,0.1269959997532894,95000000.0,2148.224212169647,8052.40044593811,2148.224212169647,5903.987440347672,0.1708099842071533,0.0
2400,0.030631328,0.118859015,,,,,,,,,,,
2500,0.008372125,0.12102737,,,,,,,,,,,
2600,0.0193289,0.11434536,,,,,,,,,,,
2700,0.013110967,0.11727528,,,,,,,,,,,
2715,,,0.1212443029683715,0.1246187423983738,83274637.0,0.1268929598067434,95000000.0,2504.8525993824005,9060.180708169935,2504.8525993824005,6555.108550071716,0.1984949111938476,0.0
2800,0.022884859,0.124451615,,,,,,,,,,,
2900,0.019542264,0.11838424,,,,,,,,,,,
3000,0.016347459,0.12163174,,,,,,,,,,,
3100,0.02482287,0.11861232,,,,,,,,,,,
3122,,,0.1243430486054353,0.1243910695532174,83274637.0,0.1267041933079769,95000000.0,2861.0825555324554,9898.428831338882,2861.0825555324554,7037.096122026444,0.2259972095489502,0.0
3200,0.020471191,0.12358423,,,,,,,,,,,
3300,0.022254547,0.11707686,,,,,,,,,,,
3400,0.013252221,0.123312,,,,,,,,,,,
3500,0.007652957,0.13273525,,,,,,,,,,,
3531,,,0.1222843814688096,0.124306508851755,83274637.0,0.1266169282894736,95000000.0,3217.295734643936,10414.371686935425,3217.295734643936,7196.794706106186,0.2540271282196045,0.0
3600,0.024353584,0.12954676,,,,,,,,,,,
3700,0.0043061147,0.11978465,,,,,,,,,,,
3800,0.005829076,0.12545845,,,,,,,,,,,
3900,0.043842338,0.120278396,,,,,,,,,,,
3947,,,0.1236294142245871,0.1241498668051459,83274637.0,0.1264344887541118,95000000.0,3573.45694899559,10790.201327562332,3573.45694899559,7216.430375337601,0.2837512493133545,0.0
4000,0.009550048,0.12484201,,,,,,,,,,,
4100,0.013043879,0.12396485,,,,,,,,,,,
4200,0.011199306,0.12506756,,,,,,,,,,,
4300,0.027670132,0.12338962,,,,,,,,,,,
4341,,,0.1210788781608238,0.1241048134152704,83274637.0,0.1264197466180098,95000000.0,3930.1871857643127,11165.892899751663,3930.1871857643127,7235.362040996551,0.3104915618896484,0.0
4400,0.021158522,0.12022698,,,,,,,,,,,
4500,0.03554347,0.12589407,,,,,,,,,,,
4600,0.018815765,0.13530675,,,,,,,,,,,
4700,0.005994547,0.13245514,,,,,,,,,,,
4739,,,0.1211230896717909,0.1240309382421771,83274637.0,0.1263488714638158,95000000.0,4286.826843261719,11541.439902067184,4286.826843261719,7254.241059064865,0.3359339237213135,0.0
4800,0.015765795,0.12470171,,,,,,,,,,,
4900,0.012355773,0.11863287,,,,,,,,,,,
5000,0.020159213,0.12559292,,,,,,,,,,,
5100,0.018546658,0.12390804,,,,,,,,,,,
5142,,,0.1223983847940305,0.1239554720773655,83274637.0,0.1262990553248355,95000000.0,4643.262503385544,11916.79379606247,4643.262503385544,7273.129673480988,0.3626213073730469,0.0
5200,0.008249517,0.12107912,,,,,,,,,,,
5300,0.013286001,0.11413631,,,,,,,,,,,
5400,0.014295317,0.11815143,,,,,,,,,,,
5500,0.028282473,0.12597357,,,,,,,,,,,
5540,,,0.1242938433779673,0.1239074516836005,83274637.0,0.1262589040501644,95000000.0,4999.436514854431,12291.932720899582,4999.436514854431,7292.059430599213,0.3948769569396972,0.0
5600,0.023263581,0.1309985,,,,,,,,,,,
5700,0.013466615,0.12158702,,,,,,,,,,,
5800,0.0064562554,0.113988966,,,,,,,,,,,
5900,0.0059446874,0.122280344,,,,,,,,,,,
5943,,,0.1247566623624953,0.1239114206080425,83274637.0,0.1262809408717105,95000000.0,5355.625084161758,12667.087470531464,5355.625084161758,7310.997383117676,0.4201612472534179,0.0
6000,0.015899327,0.123590454,,,,,,,,,,,
6100,0.018751748,0.12637523,,,,,,,,,,,
6200,0.018443778,0.13415366,,,,,,,,,,,
6300,0.006779677,0.121008195,,,,,,,,,,,
6335,,,0.121065098768885,0.1239170930507272,83274637.0,0.1262875689247533,95000000.0,5712.437850952148,13042.736931562424,5712.437850952148,7329.804396152496,0.4469945430755615,0.0
6400,0.0058585457,0.13168913,,,,,,,,,,,
6500,0.027699092,0.12616612,,,,,,,,,,,
6600,0.023578178,0.1207316,,,,,,,,,,,
6700,0.007408211,0.119749315,,,,,,,,,,,
6739,,,0.1220538723838966,0.1239102041828868,83274637.0,0.1262597913445723,95000000.0,6068.478290319443,13417.76012158394,6068.478290319443,7348.756738185883,0.4744892120361328,0.0
6800,0.012080388,0.12597215,,,,,,,,,,,
6900,0.010952815,0.12440568,,,,,,,,,,,
7000,0.023208635,0.12842315,,,,,,,,,,,
7100,0.012943668,0.12327641,,,,,,,,,,,
7144,,,0.1237439901433276,0.1238345815445809,83274637.0,0.1261776507504111,95000000.0,6425.177116155624,13793.427677869797,6425.177116155624,7367.6866409778595,0.5103585720062256,0.0
7200,0.01864354,0.12176182,,,,,,,,,,,
7300,0.008340969,0.11982721,,,,,,,,,,,
7400,0.03565821,0.11926398,,,,,,,,,,,
7500,0.009401212,0.12531647,,,,,,,,,,,
7549,,,0.1224800784656274,0.1238220052176195,83274637.0,0.126172589401727,95000000.0,6781.49863409996,14168.690658807756,6781.49863409996,7386.598075866699,0.5374155044555664,0.0
7600,0.007678624,0.11790857,,,,,,,,,,,
7700,0.005254596,0.120043434,,,,,,,,,,,
7800,0.025007524,0.12796132,,,,,,,,,,,
7900,0.0225999,0.12209066,,,,,,,,,,,
7963,,,0.1252107683381756,0.1237620652798147,83274637.0,0.1261065033717105,95000000.0,7138.306638479233,14544.5473651886,7138.306638479233,7405.616366624832,0.5648219585418701,0.0
8000,0.029004538,0.12438443,,,,,,,,,,,
8100,0.0080442745,0.11424099,,,,,,,,,,,
8200,0.014762627,0.12481406,,,,,,,,,,,
8300,0.035970237,0.12533045,,,,,,,,,,,
8368,,,0.1241114009406019,0.1236824611515756,83274637.0,0.1260116601459704,95000000.0,7494.73098731041,14919.960928916931,7494.73098731041,7424.573034524918,0.5944468975067139,0.0
8368,,,,,,,,7494.73098731041,,,,,0.0
