accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/loss,test/num_examples,test/ppl,total_duration,train/loss,train/ppl,validation/loss,validation/num_examples,validation/ppl
331.625947713852,0.0,23.766636848449707,1,0,23.766636848449707,0.0,0.0,1.0,355.3927035331726,11.044703483581545,62611.45224591156,11.044357299804688,100000.0,62589.78092824439
661.9047589302063,0.3151876926422119,2594.640924453736,5858,0,2594.640924453736,0.0,0.0,1.0,3256.926325321197,3.665024280548096,39.057084479004665,3.6682560443878174,100000.0,39.183511934110605
992.0981376171112,0.3716461658477783,5165.823674440384,11757,0,5165.823674440384,0.0,0.0,1.0,6158.426716327667,3.46369743347168,31.93483542206437,3.465569257736206,100000.0,31.9946678022719
1322.2063238620758,0.4289090633392334,7736.926491975784,17658,0,7736.926491975784,0.0,0.0,1.0,9059.755850553513,3.3911125659942627,29.69897596716692,3.391073942184448,100000.0,29.697828901719635
1652.6616599559784,0.4791178703308105,10308.23853635788,23553,0,10308.23853635788,0.0,0.0,1.0,11961.629896879196,3.337648391723633,28.152844339122343,3.3385119438171387,100000.0,28.17716628691256
1982.6490466594696,0.5257699489593506,12879.51359963417,29447,0,12879.51359963417,0.0,0.0,1.0,14862.997068405151,3.292245864868164,26.90321684753265,3.29266619682312,100000.0,26.91452750621389
2312.733930826187,0.5716495513916016,15450.832931041718,35341,0,15450.832931041718,0.0,0.0,1.0,17764.50527024269,3.235952377319336,25.430579756831964,3.235691547393799,100000.0,25.4239475655822
2642.648130893708,0.6249473094940186,18021.86381554604,41236,0,18021.86381554604,0.0,0.0,1.0,20665.560495853424,3.181081533432007,24.072774988952784,3.1804685592651367,100000.0,24.05802352135585
2972.9042489528656,0.6731290817260742,20592.784501791,47135,0,20592.784501791,0.0,0.0,1.0,23566.84249305725,3.1127641201019287,22.48310459167781,3.110938549041748,100000.0,22.44209752863473
3303.2319452762604,0.7233150005340576,23164.03602838516,53029,0,23164.03602838516,0.0,0.0,1.0,26468.529235124588,3.0447497367858887,21.004773822833958,3.0412611961364746,100000.0,20.93162548018871
,,,53029,0,23164.036028385162,,,,,,,,,
