global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.9345074,0.96337044,,,,,,,,,,,,,,
1,,,0.2356196471623012,0.9140408379690989,0.2320596140022685,0.921854941175436,3554.0,0.256090868854283,0.9145599850993088,3581.0,200.95578265190125,759.3718612194061,200.95578265190125,558.4159188270569,0.0,0.0
100,0.7468291,0.4041898,,,,,,,,,,,,,,
200,0.2733522,0.32864538,,,,,,,,,,,,,,
299,,,0.7266076632908413,0.2821700572967529,0.6993671990406936,0.3089240336592572,3554.0,0.7166445683381039,0.3111816338073338,3581.0,311.1789586544037,873.4763431549072,311.1789586544037,562.2682967185974,0.0262553691864013,0.0
300,0.1821088,0.31081825,,,,,,,,,,,,,,
399,,,0.7309880937848773,0.2778935432434082,0.7041807673791854,0.3043011615433315,3554.0,0.7211930424898771,0.3064857276249651,3581.0,421.2723910808563,987.1316025257112,421.2723910808563,565.8015792369843,0.0537238121032714,0.0
400,0.52078575,0.33584505,,,,,,,,,,,,,,
500,0.24181615,0.310673,,,,,,,,,,,,,,
506,,,0.7341784068516323,0.2742538281849452,0.7070037721581317,0.3006365104679586,3554.0,0.7241842253385926,0.3025946469321593,3581.0,531.9452605247498,1101.33394408226,531.9452605247498,569.2988574504852,0.0847647190093994,0.0
600,0.6584335,0.23205224,,,,,,,,,,,,,,
610,,,0.7356653894696917,0.2724317482539585,0.7082605399505838,0.2988109170015299,3554.0,0.7255371230103324,0.3006374313324665,3581.0,642.7525489330292,1215.710390329361,642.7525489330292,572.841034412384,0.1106581687927246,0.0
700,0.27218065,0.31518167,,,,,,,,,,,,,,
718,,,0.7366864340645927,0.2728575468063354,0.7092931572479952,0.2990575649796004,3554.0,0.7264404637758308,0.301076114061191,3581.0,753.354035615921,1329.8540353775024,753.354035615921,576.3552660942078,0.137449026107788,0.0
800,0.31361493,0.24008109,,,,,,,,,,,,,,
830,,,0.7388449396405902,0.2697783538273403,0.7114505800022861,0.2960474017502286,3554.0,0.7285930736875175,0.2978528919449001,3581.0,863.6727118492126,1443.7026181221008,863.6727118492126,579.8534691333771,0.1680147647857666,0.0
900,0.13973303,0.30497503,,,,,,,,,,,,,,
943,,,0.7402559007917132,0.2686108180454799,0.7128162974377462,0.2949382930105163,3554.0,0.7299197233445616,0.2967020017213243,3581.0,974.3519690036774,1557.9471588134766,974.3519690036774,583.3906185626984,0.1950316429138183,0.0
1000,0.27956182,0.21693753,,,,,,,,,,,,,,
1100,0.24701466,0.27899933,,,,,,,,,,,,,,
1200,0.38343745,0.27033818,,,,,,,,,,,,,,
1300,0.15779209,0.34030166,,,,,,,,,,,,,,
1400,0.095573336,0.3296342,,,,,,,,,,,,,,
1500,0.2658549,0.34037957,,,,,,,,,,,,,,
1600,0.200479,0.39069113,,,,,,,,,,,,,,
1700,0.31931654,0.2647868,,,,,,,,,,,,,,
1755,,,0.7438287053789411,0.2654896463666643,0.7160879466797974,0.2920755827500703,3554.0,0.7333493503036861,0.2937045807080773,3581.0,1084.4015448093414,1671.5323569774628,1084.4015448093414,586.8913781642914,0.2239634990692138,0.0
1800,0.16058964,0.2651211,,,,,,,,,,,,,,
1900,0.05562299,0.27124634,,,,,,,,,,,,,,
2000,0.22400504,0.31480953,,,,,,,,,,,,,,
2100,0.13978103,0.23218498,,,,,,,,,,,,,,
2200,0.27790493,0.20777413,,,,,,,,,,,,,,
2300,0.18362162,0.22945419,,,,,,,,,,,,,,
2400,0.26647246,0.30522463,,,,,,,,,,,,,,
2500,0.12853168,0.29257953,,,,,,,,,,,,,,
2600,0.08458363,0.30885443,,,,,,,,,,,,,,
2700,0.10823579,0.32628605,,,,,,,,,,,,,,
2760,,,0.747100693838937,0.2628393343516758,0.7192100477674803,0.2896747063168261,3554.0,0.7364639329098017,0.2912193368647026,3581.0,1194.3959832191467,1785.0602021217346,1194.3959832191467,590.3905529975891,0.2509412765502929,0.0
2800,0.326924,0.1926491,,,,,,,,,,,,,,
2900,0.10147245,0.35505804,,,,,,,,,,,,,,
3000,0.11505293,0.28277382,,,,,,,,,,,,,,
3100,0.1298624,0.3394558,,,,,,,,,,,,,,
3200,0.16432953,0.24371146,,,,,,,,,,,,,,
3300,0.10418668,0.23455893,,,,,,,,,,,,,,
3400,0.107080705,0.23341036,,,,,,,,,,,,,,
3500,0.10139425,0.27917862,,,,,,,,,,,,,,
3600,0.21032947,0.29173154,,,,,,,,,,,,,,
3700,0.1682806,0.2670884,,,,,,,,,,,,,,
3766,,,0.748333317892892,0.2618582759584699,0.7204001130987971,0.2888096008129044,3554.0,0.7376548428337056,0.2903267339233978,3581.0,1304.454071521759,1898.6579310894008,1304.454071521759,593.8951263427734,0.2787153720855713,0.0
3800,0.10566204,0.27239996,,,,,,,,,,,,,,
3900,0.12705208,0.27423215,,,,,,,,,,,,,,
4000,0.15395077,0.21123508,,,,,,,,,,,,,,
4100,0.057563547,0.349209,,,,,,,,,,,,,,
4200,0.104011856,0.2804922,,,,,,,,,,,,,,
4300,0.17791952,0.2713446,,,,,,,,,,,,,,
4400,0.098791465,0.30635023,,,,,,,,,,,,,,
4500,0.2673219,0.29692817,,,,,,,,,,,,,,
4600,0.24492343,0.23412618,,,,,,,,,,,,,,
4700,0.16128564,0.33248347,,,,,,,,,,,,,,
4772,,,0.7494794300624302,0.2609867538724627,0.7214487362390968,0.2880490313236406,3554.0,0.7386982184620218,0.2895244991469736,3581.0,1414.512639045715,2012.2528047561648,1414.512639045715,597.3975343704224,0.3053672313690185,0.0
4800,0.11266965,0.2787136,,,,,,,,,,,,,,
4900,0.1412672,0.27560434,,,,,,,,,,,,,,
5000,0.07710185,0.33620968,,,,,,,,,,,,,,
5100,0.11539834,0.2700384,,,,,,,,,,,,,,
5200,0.17616431,0.30491012,,,,,,,,,,,,,,
5300,0.3761896,0.26739746,,,,,,,,,,,,,,
5400,0.11793589,0.2883752,,,,,,,,,,,,,,
5500,0.091264315,0.29294237,,,,,,,,,,,,,,
5600,0.12807758,0.23804966,,,,,,,,,,,,,,
5700,0.34542754,0.2963955,,,,,,,,,,,,,,
5778,,,0.7505109650748116,0.2602062055042812,0.7223663587682893,0.2873844110234507,3554.0,0.739612740200014,0.2888315515590093,3581.0,1524.5725891590118,2125.8521358966827,1524.5725891590118,600.9035224914551,0.3315320014953613,0.0
5800,0.09464388,0.29734817,,,,,,,,,,,,,,
5900,0.14112134,0.26941472,,,,,,,,,,,,,,
6000,0.08111868,0.3099475,,,,,,,,,,,,,,
6100,0.09774579,0.2937974,,,,,,,,,,,,,,
6200,0.06818101,0.29762158,,,,,,,,,,,,,,
6300,0.0728714,0.28593776,,,,,,,,,,,,,,
6400,0.25134873,0.24601498,,,,,,,,,,,,,,
6500,0.11523677,0.29231763,,,,,,,,,,,,,,
6600,0.08864191,0.364142,,,,,,,,,,,,,,
6700,0.06032339,0.29469123,,,,,,,,,,,,,,
6784,,,0.7512931823730469,0.2596352100372314,0.7230526178689505,0.2869187646456897,3554.0,0.7402863937927604,0.2883475995270176,3581.0,1634.6368293762207,2239.453699827194,1634.6368293762207,604.4036021232605,0.3613841533660888,0.0
6800,0.14995524,0.19789892,,,,,,,,,,,,,,
6900,0.1423808,0.30261213,,,,,,,,,,,,,,
7000,0.055288665,0.2743295,,,,,,,,,,,,,,
7100,0.06622958,0.24268726,,,,,,,,,,,,,,
7200,0.085489064,0.3453134,,,,,,,,,,,,,,
7300,0.08304085,0.2983403,,,,,,,,,,,,,,
7400,0.097269714,0.28049275,,,,,,,,,,,,,,
7500,0.2145634,0.1778884,,,,,,,,,,,,,,
7600,0.057463564,0.2734817,,,,,,,,,,,,,,
7700,0.17424494,0.19813429,,,,,,,,,,,,,,
7789,,,0.7518699509756905,0.2591927562441145,0.7235144516961522,0.2865774898496852,3554.0,0.740756676404112,0.2879844224509564,3581.0,1744.606414794922,2352.9589581489563,1744.606414794922,607.9034917354584,0.3898553848266601,0.0
7800,0.09126215,0.29083872,,,,,,,,,,,,,,
7900,0.047302727,0.29957187,,,,,,,,,,,,,,
8000,0.100803144,0.24827653,,,,,,,,,,,,,,
8100,0.04757798,0.28184968,,,,,,,,,,,,,,
8200,0.08270086,0.26345417,,,,,,,,,,,,,,
8300,0.16754594,0.17340389,,,,,,,,,,,,,,
8400,0.073629335,0.2995589,,,,,,,,,,,,,,
8500,0.18176982,0.2568094,,,,,,,,,,,,,,
8600,0.15100533,0.22701591,,,,,,,,,,,,,,
8700,0.18517546,0.23157132,,,,,,,,,,,,,,
8794,,,0.7523611613682338,0.258812461580549,0.7239381600177617,0.2862759892297851,3554.0,0.7411790989990575,0.287666582854824,3581.0,1854.5847795009613,2466.4768340587616,1854.5847795009613,611.4056217670441,0.4199631214141845,0.0
8794,,,,,,,,,,,1854.5847795009613,,,,,0.0
