global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.2676697,11.0908575,,,,,,,,,,,,,,,,,
1,,,0.0006196142639964,11.107876777648926,0.0,0.0004835649742744,11.13804531097412,0.0,3000.0,0.0007088489946909,11.148337364196776,0.0,3003.0,57.330106258392334,974.067750930786,57.330106258392334,916.7374877929688,0.0,0.0
100,0.6695603,8.071419,,,,,,,,,,,,,,,,,
200,0.4680719,7.3023396,,,,,,,,,,,,,,,,,
300,0.44247612,6.6934257,,,,,,,,,,,,,,,,,
400,0.39390817,6.069634,,,,,,,,,,,,,,,,,
500,0.41502127,5.6748724,,,,,,,,,,,,,,,,,
600,0.62923455,5.477252,,,,,,,,,,,,,,,,,
700,0.41492024,5.161594,,,,,,,,,,,,,,,,,
800,0.48555028,4.860965,,,,,,,,,,,,,,,,,
900,0.38376558,4.623835,,,,,,,,,,,,,,,,,
1000,0.41034797,4.435609,,,,,,,,,,,,,,,,,
1100,0.5037947,4.2814574,,,,,,,,,,,,,,,,,
1200,0.5567477,4.042215,,,,,,,,,,,,,,,,,
1300,0.43680292,3.9523063,,,,,,,,,,,,,,,,,
1400,0.4031703,3.7167447,,,,,,,,,,,,,,,,,
1500,0.5039388,3.6136696,,,,,,,,,,,,,,,,,
1600,0.40100518,3.3963845,,,,,,,,,,,,,,,,,
1700,0.43171066,3.420651,,,,,,,,,,,,,,,,,
1800,0.4056325,3.1995912,,,,,,,,,,,,,,,,,
1900,0.39622718,3.1202805,,,,,,,,,,,,,,,,,
2000,0.34345704,3.0370986,,,,,,,,,,,,,,,,,
2100,0.31374732,2.9416585,,,,,,,,,,,,,,,,,
2200,0.2990438,2.9227502,,,,,,,,,,,,,,,,,
2300,0.28119937,2.892674,,,,,,,,,,,,,,,,,
2400,0.29338583,2.762167,,,,,,,,,,,,,,,,,
2500,0.27008379,2.7945516,,,,,,,,,,,,,,,,,
2600,0.28052318,2.6917548,,,,,,,,,,,,,,,,,
