accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/num_examples,total_duration,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples
119.4431505203247,0.0,66.12649583816528,1,0,66.12649583816528,0.001,6.907755,10000.0,185.5697479248047,0.00080078124,6.907755,0.0009999999,6.907755,50000.0
301.4704976081848,0.3030455112457275,2637.2447090148926,3979,0,2637.2447090148926,0.0948,5.129074,10000.0,2939.073188304901,0.14009765,4.694781,0.12478,4.8117375,50000.0
496.36723351478577,0.4322013854980469,5208.62353014946,8375,0,5208.62353014946,0.20170002,4.1018357,10000.0,5705.549163579941,0.2859375,3.479704,0.26608,3.6009855,50000.0
620.6259336471558,0.4822216033935547,7779.96008014679,13698,0,7779.96008014679,0.2675,3.606651,10000.0,8401.277567863464,0.3813867,2.887124,0.3588,3.024673,50000.0
823.5089466571808,0.5330901145935059,10351.302965164185,18990,0,10351.302965164185,0.30600002,3.3929818,10000.0,11175.62644314766,0.42998046,2.6187847,0.40398,2.764604,50000.0
884.1730890274048,0.5836796760559082,12922.722308635712,24322,0,12922.722308635712,0.32880002,3.2788641,10000.0,13807.831230163574,0.467207,2.4622242,0.42549998,2.6606855,50000.0
947.332139968872,0.664189338684082,15494.076803922651,29663,0,15494.076803922651,0.3578,3.066564,10000.0,16442.51056957245,0.49705076,2.257401,0.4596,2.4480276,50000.0
1045.0150899887085,0.7452960014343262,18065.222702741623,35001,0,18065.222702741623,0.3765,2.9568899,10000.0,19111.494844675064,0.51986325,2.140019,0.48204,2.3222218,50000.0
1162.176110982895,0.8254380226135254,20636.569273233414,40335,0,20636.569273233414,0.38990003,2.8351276,10000.0,21800.1563167572,0.539707,2.0212586,0.50342,2.1880581,50000.0
1229.7210290431976,0.877692461013794,23208.000721931458,45667,0,23208.000721931458,0.39890003,2.7689142,10000.0,24439.26198577881,0.57230467,1.8408184,0.51778,2.1083746,50000.0
1306.238873004913,0.944084882736206,25779.51954293251,50974,0,25779.51954293251,0.41310003,2.7162118,10000.0,27087.43806195259,0.5733398,1.8489547,0.52418,2.0797567,50000.0
