global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
10500,0.18005641,3.428932,,,,,,,,,,,,,,
10600,0.19636172,3.4012134,,,,,,,,,,,,,,
10700,0.17822449,3.40282,,,,,,,,,,,,,,
10800,0.17199086,3.4438567,,,,,,,,,,,,,,
10900,0.1870506,3.4410224,,,,,,,,,,,,,,
11000,0.18566947,3.3896127,,,,,,,,,,,,,,
11100,0.18295087,3.3637648,,,,,,,,,,,,,,
11200,0.18665816,3.4098697,,,,,,,,,,,,,,
11300,0.18113373,3.4137247,,,,,,,,,,,,,,
11400,0.17913613,3.45415,,,,,,,,,,,,,,
11427,,,3.389890670776367,29.66270909212912,3.392065525054932,29.72729136497202,100000.0,0.0,1.0,0.0,2591.3998839855194,3251.856593608856,2591.3998839855194,660.3451807498932,0.0388171672821044,0.0
11500,0.19751681,3.489328,,,,,,,,,,,,,,
11600,0.1803251,3.4334202,,,,,,,,,,,,,,
11700,0.18187264,3.443592,,,,,,,,,,,,,,
11800,0.19482718,3.3838449,,,,,,,,,,,,,,
11900,0.20248716,3.4074721,,,,,,,,,,,,,,
12000,0.19554628,3.4920795,,,,,,,,,,,,,,
12100,0.19546053,3.424624,,,,,,,,,,,,,,
12200,0.19832651,3.4843016,,,,,,,,,,,,,,
12300,0.20624068,3.391509,,,,,,,,,,,,,,
12400,0.19619404,3.506719,,,,,,,,,,,,,,
12500,0.18777421,3.4252067,,,,,,,,,,,,,,
12600,0.19351651,3.36453,,,,,,,,,,,,,,
12700,0.19686271,3.42645,,,,,,,,,,,,,,
12800,0.21329492,3.4646077,,,,,,,,,,,,,,
12900,0.195899,3.4417794,,,,,,,,,,,,,,
13000,0.20106728,3.4220567,,,,,,,,,,,,,,
13100,0.19803542,3.4305544,,,,,,,,,,,,,,
13200,0.19782254,3.4523065,,,,,,,,,,,,,,
13300,0.19774102,3.351167,,,,,,,,,,,,,,
13400,0.20696533,3.458371,,,,,,,,,,,,,,
