global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
10200,2.2626278,1.906674,,,,,,,,,,,,,,
10300,2.0227902,1.796762,,,,,,,,,,,,,,
10400,2.4872844,1.8637366,,,,,,,,,,,,,,
10500,2.7322874,1.7449458,,,,,,,,,,,,,,
10600,2.4694872,1.7627223,,,,,,,,,,,,,,
10700,2.5273573,1.8390932,,,,,,,,,,,,,,
10800,2.4064636,1.7562371,,,,,,,,,,,,,,
10900,2.7729323,1.8918107,,,,,,,,,,,,,,
11000,2.2664866,1.767657,,,,,,,,,,,,,,
11100,2.089656,1.6282972,,,,,,,,,,,,,,
11200,2.554571,1.8807033,,,,,,,,,,,,,,
11300,2.6668658,1.8093452,,,,,,,,,,,,,,
11400,2.4662364,1.7547941,,,,,,,,,,,,,,
11500,2.6015365,1.699815,,,,,,,,,,,,,,
11600,2.3005838,1.8178282,,,,,,,,,,,,,,
11700,2.527993,1.7943046,,,,,,,,,,,,,,
11800,2.257704,1.7452697,,,,,,,,,,,,,,
11900,2.215201,1.7362735,,,,,,,,,,,,,,
12000,2.2101693,1.7310419,,,,,,,,,,,,,,
12100,2.588666,1.6965599,,,,,,,,,,,,,,
12200,2.0222347,1.7289428,,,,,,,,,,,,,,
12300,2.3747392,1.752631,,,,,,,,,,,,,,
12400,2.0503283,1.592243,,,,,,,,,,,,,,
12500,2.2905352,1.6502949,,,,,,,,,,,,,,
12600,3.0647745,1.7367299,,,,,,,,,,,,,,
12700,2.3506553,1.60723,,,,,,,,,,,,,,
12800,2.3864777,1.8035806,,,,,,,,,,,,,,
12900,2.892943,1.7855635,,,,,,,,,,,,,,
13000,2.3679855,1.6053679,,,,,,,,,,,,,,
13100,1.985282,1.5915236,,,,,,,,,,,,,,
13200,2.6132774,1.734606,,,,,,,,,,,,,,
13300,2.089573,1.5566785,,,,,,,,,,,,,,
13400,2.6372073,1.7444925,,,,,,,,,,,,,,
13500,2.3092542,1.6719172,,,,,,,,,,,,,,
13600,2.6361153,1.717707,,,,,,,,,,,,,,
