global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
10200,1.2122561,3.393608,,,,,,,,,,,,,,
10300,0.8468059,5.86026,,,,,,,,,,,,,,
10400,1.3235817,3.5105805,,,,,,,,,,,,,,
10500,1.4064233,3.4134238,,,,,,,,,,,,,,
10600,0.9600368,4.899585,,,,,,,,,,,,,,
10700,1.4036819,3.2917266,,,,,,,,,,,,,,
10800,1.312172,3.8628485,,,,,,,,,,,,,,
10882,,,0.47158203,2.3944376,0.4331,2.5947328,50000.0,0.3323,3.206667,10000.0,5197.671504735947,5321.7557945251465,5197.671504735947,123.6775712966919,0.2656311988830566,0.0
10900,1.3443644,3.4432826,,,,,,,,,,,,,,
11000,1.453634,3.408041,,,,,,,,,,,,,,
11100,1.4176406,3.3964777,,,,,,,,,,,,,,
11200,1.5030358,4.1409254,,,,,,,,,,,,,,
11300,0.93295765,5.0583134,,,,,,,,,,,,,,
11400,1.1420014,4.898307,,,,,,,,,,,,,,
11500,1.4038736,3.4089167,,,,,,,,,,,,,,
11600,0.8619006,5.521487,,,,,,,,,,,,,,
11700,1.1607287,4.0224657,,,,,,,,,,,,,,
11800,1.0846224,5.814994,,,,,,,,,,,,,,
11900,1.1857699,3.2195182,,,,,,,,,,,,,,
12000,1.1636845,5.7593966,,,,,,,,,,,,,,
12100,1.2381297,3.4926157,,,,,,,,,,,,,,
12200,1.418778,3.2945986,,,,,,,,,,,,,,
12300,1.7638041,3.2339392,,,,,,,,,,,,,,
12400,1.5041577,3.2992635,,,,,,,,,,,,,,
12500,1.4655801,3.2516613,,,,,,,,,,,,,,
12600,1.533264,3.1278558,,,,,,,,,,,,,,
12700,1.7064431,3.310803,,,,,,,,,,,,,,
12800,1.5893322,3.2986188,,,,,,,,,,,,,,
12900,1.5182048,3.9532948,,,,,,,,,,,,,,
13000,1.5393977,3.38205,,,,,,,,,,,,,,
13100,1.2214891,3.94206,,,,,,,,,,,,,,
13200,1.3865951,5.0502076,,,,,,,,,,,,,,
13300,1.5737135,3.438263,,,,,,,,,,,,,,
13400,1.3295594,4.3243213,,,,,,,,,,,,,,
13500,1.1341507,5.624193,,,,,,,,,,,,,,
13600,1.4003426,3.201364,,,,,,,,,,,,,,
13700,1.1549746,4.9590683,,,,,,,,,,,,,,
13800,1.6125416,3.8693612,,,,,,,,,,,,,,
13900,1.6774007,4.1763105,,,,,,,,,,,,,,
14000,1.4148865,3.105247,,,,,,,,,,,,,,
14100,1.0315292,5.6501055,,,,,,,,,,,,,,
14200,1.6584626,3.1596723,,,,,,,,,,,,,,
14300,1.5030686,3.832398,,,,,,,,,,,,,,
14400,1.543566,3.0691986,,,,,,,,,,,,,,
14500,1.2460399,5.7716618,,,,,,,,,,,,,,
14600,1.1283785,5.358903,,,,,,,,,,,,,,
14700,1.403189,3.7663074,,,,,,,,,,,,,,
14800,1.0312905,5.116702,,,,,,,,,,,,,,
14900,1.1271125,5.6274996,,,,,,,,,,,,,,
15000,1.5220287,2.9887486,,,,,,,,,,,,,,
15100,1.622506,3.713546,,,,,,,,,,,,,,
15200,1.4756808,2.9687216,,,,,,,,,,,,,,
15300,1.483138,3.0207453,,,,,,,,,,,,,,
15400,1.394271,5.4357624,,,,,,,,,,,,,,
15500,1.4962664,3.186315,,,,,,,,,,,,,,
15600,1.1781162,5.6743364,,,,,,,,,,,,,,
15700,2.0296726,3.0265534,,,,,,,,,,,,,,
15800,1.4828548,2.9897385,,,,,,,,,,,,,,
15900,1.620696,2.926308,,,,,,,,,,,,,,
16000,1.8042051,3.0104077,,,,,,,,,,,,,,
16100,1.3098254,3.8766265,,,,,,,,,,,,,,
16200,1.5251048,3.167481,,,,,,,,,,,,,,
16300,1.5909206,2.9399958,,,,,,,,,,,,,,
16400,1.5227789,2.8939223,,,,,,,,,,,,,,
16456,,,0.5622461,1.9141209,0.51382,2.1412883,50000.0,0.39560002,2.7926784,10000.0,7768.994223356247,7918.298373937607,7768.994223356247,148.75988221168518,0.3365430831909179,0.0
16500,1.3992187,4.2241564,,,,,,,,,,,,,,
16600,1.4435813,2.9374743,,,,,,,,,,,,,,
16700,2.0260441,3.0265517,,,,,,,,,,,,,,
16800,1.3583165,3.3428502,,,,,,,,,,,,,,
16900,1.091906,5.57497,,,,,,,,,,,,,,
17000,1.7696694,3.046682,,,,,,,,,,,,,,
17100,1.5591345,3.0387988,,,,,,,,,,,,,,
17200,1.5619907,2.9701,,,,,,,,,,,,,,
