global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
8800,0.16111793,1.9864533,,,,,,,,,,,,,,,,,
8900,0.15671894,1.9035751,,,,,,,,,,,,,,,,,
9000,0.20548609,1.9303175,,,,,,,,,,,,,,,,,
9100,0.17591245,1.9651923,,,,,,,,,,,,,,,,,
9200,0.16793072,2.062664,,,,,,,,,,,,,,,,,
9300,0.16551772,1.9289333,,,,,,,,,,,,,,,,,
9323,,,0.6289173364639282,1.844749093055725,30.75993354737346,0.6425091028213501,1.7467244863510132,26.98372797040775,3000.0,0.6505722999572754,1.6866532564163208,26.197210125281707,3003.0,1346.42244887352,3308.5776829719543,1346.42244887352,1961.990521669388,0.0927212238311767,0.0
9400,0.14066851,1.9174327,,,,,,,,,,,,,,,,,
9500,0.14774853,1.8824768,,,,,,,,,,,,,,,,,
9600,0.13570033,1.8278755,,,,,,,,,,,,,,,,,
9700,0.1479681,1.8330059,,,,,,,,,,,,,,,,,
9800,0.1424274,1.9334061,,,,,,,,,,,,,,,,,
9900,0.16705239,1.8889028,,,,,,,,,,,,,,,,,
10000,0.1818519,1.81036,,,,,,,,,,,,,,,,,
10100,0.20064421,1.8638295,,,,,,,,,,,,,,,,,
10200,0.14915952,1.8554878,,,,,,,,,,,,,,,,,
10300,0.16730583,1.8240753,,,,,,,,,,,,,,,,,
10400,0.18798624,1.8197707,,,,,,,,,,,,,,,,,
10500,0.18218003,1.9226798,,,,,,,,,,,,,,,,,
10600,0.1584229,1.8890134,,,,,,,,,,,,,,,,,
10700,0.16077365,1.9462708,,,,,,,,,,,,,,,,,
10800,0.19498293,1.9060582,,,,,,,,,,,,,,,,,
10900,0.24344783,1.8590387,,,,,,,,,,,,,,,,,
11000,0.16680375,1.9100053,,,,,,,,,,,,,,,,,
11100,0.18045656,1.8687552,,,,,,,,,,,,,,,,,
11200,0.14403883,1.8282936,,,,,,,,,,,,,,,,,
11300,0.15508595,1.8927507,,,,,,,,,,,,,,,,,
11400,0.14917268,1.8508769,,,,,,,,,,,,,,,,,
11500,0.26396546,1.9020766,,,,,,,,,,,,,,,,,
11600,0.1783867,1.8648126,,,,,,,,,,,,,,,,,
11700,0.18396276,1.7677215,,,,,,,,,,,,,,,,,
11800,0.15527034,1.8186358,,,,,,,,,,,,,,,,,
11900,0.15219623,1.8327525,,,,,,,,,,,,,,,,,
12000,0.21580671,1.8825585,,,,,,,,,,,,,,,,,
12100,0.16637205,1.8171827,,,,,,,,,,,,,,,,,
