global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,12.100183,11.003872,,,,,,,,,,,,,,
1,,,11.005793571472168,60222.03362979968,11.005755424499512,60219.73638534624,100000.0,0.0,1.0,0.0,20.79915022850037,352.74946641922,20.79915022850037,331.95021772384644,0.0,0.0
100,85.150055,8.042518,,,,,,,,,,,,,,
200,0.6186683,6.801377,,,,,,,,,,,,,,
300,1.3930236,6.500374,,,,,,,,,,,,,,
400,1.213098,6.311775,,,,,,,,,,,,,,
500,0.94673216,6.0098357,,,,,,,,,,,,,,
600,0.53428376,5.855869,,,,,,,,,,,,,,
700,0.774336,5.695285,,,,,,,,,,,,,,
800,0.57881737,5.48931,,,,,,,,,,,,,,
900,0.479494,5.359255,,,,,,,,,,,,,,
1000,0.43980104,5.15491,,,,,,,,,,,,,,
1100,0.38621917,5.0244007,,,,,,,,,,,,,,
1200,0.31790859,4.904996,,,,,,,,,,,,,,
1300,0.37448704,4.7763243,,,,,,,,,,,,,,
1400,0.30253693,4.6886744,,,,,,,,,,,,,,
1500,0.30851117,4.6249194,,,,,,,,,,,,,,
1600,0.25175077,4.5748787,,,,,,,,,,,,,,
1700,0.24708904,4.555341,,,,,,,,,,,,,,
1800,0.28677952,4.5035243,,,,,,,,,,,,,,
1900,0.26674938,4.555885,,,,,,,,,,,,,,
2000,0.23029444,4.326715,,,,,,,,,,,,,,
2100,0.28634322,4.292366,,,,,,,,,,,,,,
2200,0.21254963,4.2638927,,,,,,,,,,,,,,
2300,0.20748104,4.315998,,,,,,,,,,,,,,
2400,0.22300722,4.3342648,,,,,,,,,,,,,,
2500,0.21692987,4.1041617,,,,,,,,,,,,,,
2600,0.22905418,4.1814585,,,,,,,,,,,,,,
2700,0.19160068,4.090081,,,,,,,,,,,,,,
2800,0.22407871,4.1578226,,,,,,,,,,,,,,
2900,0.19818115,4.1122303,,,,,,,,,,,,,,
3000,0.19944592,4.0281906,,,,,,,,,,,,,,
3100,0.18073612,4.2051797,,,,,,,,,,,,,,
3200,0.20321667,4.1695843,,,,,,,,,,,,,,
3300,0.1942087,4.087516,,,,,,,,,,,,,,
3400,0.18087073,4.068133,,,,,,,,,,,,,,
3500,0.17643173,4.0076895,,,,,,,,,,,,,,
3600,0.1707465,3.9552937,,,,,,,,,,,,,,
3700,0.2098255,4.009994,,,,,,,,,,,,,,
3800,0.17114386,3.868213,,,,,,,,,,,,,,
3900,0.17767343,3.8373034,,,,,,,,,,,,,,
4000,0.17455716,3.9071174,,,,,,,,,,,,,,
4100,0.18447256,3.8508735,,,,,,,,,,,,,,
4200,0.19620569,3.8842654,,,,,,,,,,,,,,
4300,0.16734423,3.9372663,,,,,,,,,,,,,,
4400,0.16207334,3.6597047,,,,,,,,,,,,,,
4500,0.17494255,3.858905,,,,,,,,,,,,,,
4600,0.19728488,3.948561,,,,,,,,,,,,,,
4700,0.17061545,3.68932,,,,,,,,,,,,,,
4800,0.17571485,3.8645828,,,,,,,,,,,,,,
4900,0.1804377,3.8042061,,,,,,,,,,,,,,
5000,0.17178571,3.875986,,,,,,,,,,,,,,
5100,0.1937713,3.7981067,,,,,,,,,,,,,,
5200,0.19100617,3.7595377,,,,,,,,,,,,,,
5300,0.16948493,3.830052,,,,,,,,,,,,,,
5400,0.17619744,3.7660933,,,,,,,,,,,,,,
5500,0.16545354,3.8369112,,,,,,,,,,,,,,
5600,0.19458342,3.6958482,,,,,,,,,,,,,,
5700,0.17326878,3.654377,,,,,,,,,,,,,,
5800,0.16543186,3.7483442,,,,,,,,,,,,,,
5900,0.1607138,3.7338638,,,,,,,,,,,,,,
6000,0.16824418,3.6641302,,,,,,,,,,,,,,
6100,0.16100809,3.8212008,,,,,,,,,,,,,,
6200,0.1734277,3.8003254,,,,,,,,,,,,,,
6300,0.16518502,3.6785464,,,,,,,,,,,,,,
6400,0.187743,3.6463616,,,,,,,,,,,,,,
6500,0.1648867,3.6168664,,,,,,,,,,,,,,
6600,0.16421343,3.7036686,,,,,,,,,,,,,,
6700,0.17227767,3.5885665,,,,,,,,,,,,,,
6800,0.16496092,3.6079304,,,,,,,,,,,,,,
6900,0.1713346,3.7343469,,,,,,,,,,,,,,
7000,0.16659437,3.613596,,,,,,,,,,,,,,
7100,0.17123778,3.704571,,,,,,,,,,,,,,
7200,0.16828668,3.573011,,,,,,,,,,,,,,
7300,0.16268168,3.6705265,,,,,,,,,,,,,,
7400,0.16768886,3.7775502,,,,,,,,,,,,,,
7500,0.16242428,3.5436373,,,,,,,,,,,,,,
7600,0.17575711,3.6302445,,,,,,,,,,,,,,
7700,0.1692162,3.5991511,,,,,,,,,,,,,,
7800,0.1619051,3.666465,,,,,,,,,,,,,,
7900,0.16829674,3.5270107,,,,,,,,,,,,,,
8000,0.18202202,3.5537043,,,,,,,,,,,,,,
8100,0.17591807,3.5575616,,,,,,,,,,,,,,
8200,0.18433963,3.6576858,,,,,,,,,,,,,,
8300,0.23990712,3.523126,,,,,,,,,,,,,,
8400,0.17542173,3.5509162,,,,,,,,,,,,,,
8500,0.16708459,3.7838936,,,,,,,,,,,,,,
8600,0.19011928,3.5718417,,,,,,,,,,,,,,
8700,0.19365574,3.6859064,,,,,,,,,,,,,,
8800,0.19102626,3.5636415,,,,,,,,,,,,,,
