global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,1.9191351,0.7302861,,,,,,,,,,,,,,,,,
1,,,0.5437816381454468,0.7213079929351807,0.0222083060122276,0.549278199672699,0.7199373841285706,0.0253999915231944,43793.0,0.54930579662323,0.7195466160774231,0.0278079248548325,43793.0,21.242717504501343,265.5489454269409,21.242717504501343,244.306161403656,0.0,0.0
100,0.17632785,0.16615787,,,,,,,,,,,,,,,,,
200,0.03237531,0.06867884,,,,,,,,,,,,,,,,,
300,0.020104459,0.053795293,,,,,,,,,,,,,,,,,
400,0.014568315,0.054408457,,,,,,,,,,,,,,,,,
500,0.013199142,0.05278793,,,,,,,,,,,,,,,,,
600,0.020902624,0.05398974,,,,,,,,,,,,,,,,,
700,0.020680992,0.050054956,,,,,,,,,,,,,,,,,
800,0.01436147,0.052352883,,,,,,,,,,,,,,,,,
900,0.016300287,0.049520716,,,,,,,,,,,,,,,,,
1000,0.02654151,0.05590319,,,,,,,,,,,,,,,,,
1100,0.014271602,0.04754291,,,,,,,,,,,,,,,,,
1200,0.011604546,0.04882436,,,,,,,,,,,,,,,,,
1300,0.031351738,0.049138326,,,,,,,,,,,,,,,,,
1400,0.017152857,0.044360638,,,,,,,,,,,,,,,,,
1500,0.019096008,0.050957985,,,,,,,,,,,,,,,,,
1600,0.017876374,0.049579404,,,,,,,,,,,,,,,,,
1700,0.019634547,0.043434378,,,,,,,,,,,,,,,,,
1800,0.016589766,0.044485014,,,,,,,,,,,,,,,,,
1900,0.013445825,0.04007433,,,,,,,,,,,,,,,,,
2000,0.013348758,0.042379655,,,,,,,,,,,,,,,,,
2100,0.023193914,0.046559922,,,,,,,,,,,,,,,,,
2200,0.01597223,0.04584689,,,,,,,,,,,,,,,,,
2206,,,0.9875662326812744,0.0443587452173233,0.1330276454142265,0.984929621219635,0.0535862818360328,0.1209215189084952,43793.0,0.9839819669723512,0.0566196665167808,0.1231759632947804,43793.0,473.3129940032959,828.3752567768097,473.3129940032959,355.0137469768524,0.0336849689483642,0.0
2300,0.014560888,0.044300105,,,,,,,,,,,,,,,,,
2400,0.014550641,0.040910903,,,,,,,,,,,,,,,,,
2500,0.013668325,0.044789452,,,,,,,,,,,,,,,,,
2600,0.015065206,0.046748653,,,,,,,,,,,,,,,,,
2700,0.012170422,0.039490238,,,,,,,,,,,,,,,,,
2800,0.010329194,0.039945647,,,,,,,,,,,,,,,,,
2900,0.013119641,0.04085734,,,,,,,,,,,,,,,,,
3000,0.017415052,0.047757678,,,,,,,,,,,,,,,,,
3100,0.019255321,0.04295838,,,,,,,,,,,,,,,,,
3200,0.015518395,0.040038608,,,,,,,,,,,,,,,,,
3300,0.014368627,0.043399397,,,,,,,,,,,,,,,,,
3400,0.022944964,0.04598563,,,,,,,,,,,,,,,,,
3500,0.013612781,0.043471593,,,,,,,,,,,,,,,,,
3600,0.012615711,0.044172127,,,,,,,,,,,,,,,,,
3700,0.014324679,0.041469302,,,,,,,,,,,,,,,,,
3800,0.013298096,0.045022883,,,,,,,,,,,,,,,,,
3900,0.015225723,0.042518154,,,,,,,,,,,,,,,,,
4000,0.018833961,0.042553376,,,,,,,,,,,,,,,,,
4100,0.017863002,0.041214127,,,,,,,,,,,,,,,,,
4200,0.017330213,0.042588707,,,,,,,,,,,,,,,,,
4300,0.014181125,0.038069274,,,,,,,,,,,,,,,,,
4400,0.017598627,0.038718022,,,,,,,,,,,,,,,,,
